"name","group","element","units","context","S428627","S428628","S428629","S428630","S428631","S428632","S428633","S428634","S428635","S428636","S428637","S428638","S428639","S428640","S428641","S428642","S428643","S428644","S428645","S428646","S428647","S428648","S428649","S428650","S428651","S428652","S428653","S428654","S428655","S428656","S428657","S428658","S428659","S428660","S428661","S428662","S428663","S428664","S428665","S428666","S428667","S428668","S428669","S428670","S428671","S428672","S428673","S428674","S428675","S428676","S428677","S428678","S428679","S428680","S428681","S428682","S428683","S428684","S428685","S428686","S428687","S428688","S428689","S428690","S428691","S428692","S428693"
AnalysisUnitName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depth,,,,,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105,110,115,120,125,130,135,140,145,150,155,160,165,170,175,180,185,190,195,200,205,210,215,220,225,230,235,240,245,250,255,260,265,270,275,280,285,290,295,300,305,310,315,320,325,330,335
Thickness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample ID,,,,,428627,428628,428629,428630,428631,428632,428633,428634,428635,428636,428637,428638,428639,428640,428641,428642,428643,428644,428645,428646,428647,428648,428649,428650,428651,428652,428653,428654,428655,428656,428657,428658,428659,428660,428661,428662,428663,428664,428665,428666,428667,428668,428669,428670,428671,428672,428673,428674,428675,428676,428677,428678,428679,428680,428681,428682,428683,428684,428685,428686,428687,428688,428689,428690,428691,428692,428693
APD 1,Calibrated radiocarbon years BP,,,,43/1/-46,142/57/-32,245/114/-19,346/171/-6,494/332/161,707/600/474,970/867/783,1274/1163/1078,1626/1527/1451,1980/1891/1825,2335/2255/2191,2694/2619/2559,3057/2983/2923,3439/3347/3284,3822/3711/3638,4273/4160/4083,4836/4734/4668,5400/5309/5242,5965/5884/5815,6539/6458/6369,7122/7033/6926,7712/7607/7486,8305/8182/8042,8898/8757/8597,9736/9599/9433,10829/10707/10558,11928/11816/11681,13032/12925/12796,14149/14034/13903,15264/15143/15006,16385/16252/16109,17508/17361/17204,18634/18470/18300,19762/19579/19397,20888/20688/20484,22017/21797/21577,23147/22905/22670,24276/24014/23758,25305/25012/24722,26380/26010/25672,27487/27008/26597,28631/28006/27489,29769/29003/28372,30915/30001/29260,32059/30999/30130,33197/31997/30994,34355/32994/31869,35510/33992/32738,36651/34990/33622,37789/35988/34493,38827/36886/35273,39963/37884/36147,41107/38881/37021,42267/39879/37895,43427/40877/38764,44587/41875/39631,45747/42873/40511,46906/43870/41392,48061/44868/42266,49215/45866/43140,50369/46864/44007,51514/47862/44875,52655/48859/45742,53797/49857/46609,54938/50855/47476,56081/51853/48343,57234/52851/49212
APD 2,Calibrated radiocarbon years BP,,,,201/32/-55,304/117/-18,374/196/35,442/284/107,596/408/209,948/639/349,1127/877/548,1313/1130/990,2155/1491/1089,2591/1844/1261,3054/2197/1468,3320/2547/1755,3616/2898/2025,3857/3276/2392,4025/3646/2919,4271/4069/3912,5967/4661/4024,6639/5191/4258,7252/5776/4583,7766/6352/5063,8215/6919/5545,8629/7500/6102,8970/8057/6706,9215/8655/7679,9539/9268/8955,12480/10360/9204,14510/11542/9668,15861/12652/10302,17051/13737/11065,18279/14879/11923,19351/16035/12814,20480/17211/13884,21333/18352/15102,22171/19422/16164,22879/20512/17430,23578/21698/19023,24109/22737/20586,24484/23805/22598,25744/24755/24101,27321/25550/24433,28531/26355/24819,29631/27144/25281,30611/27969/25821,31583/28779/26338,32569/29610/26918,33418/30415/27484,34228/31218/28162,34984/32019/28760,35712/32834/29359,36326/33641/30044,37013/34462/30770,37740/34978/31248,38402/35489/31688,39050/35993/32102,39830/36501/32517,40389/36994/32892,41019/37508/33353,41700/38023/33803,42344/38533/34254,42924/39049/34577,43545/39549/35136,44087/40054/35541,44737/40564/35970,45280/41059/36407,45866/41555/36776,46446/42061/37232,47125/42578/37721
Acacia-type (type II),TRSH,pollen,NISP,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia-type (type III),TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Acalypha,UPHE,pollen,NISP,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Acanthaceae undiff.,TRSH,pollen,NISP,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acanthus-type,UPHE,pollen,NISP,,,,,1,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,
Aerva-type (A. javanica),UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alchornea,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,2,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,
Aniseia,UPHE,pollen,NISP,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,3,1,1,,,,,,,,,,2,1,1,,,,,,,,,,,,,,,
Anthocleista,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,
Apodytes dimidiata,TRSH,pollen,NISP,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,
Artemisia,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,1,,,,,,
Asteroideae,UPHE,pollen,NISP,,,,2,2,1,4,,5,5,7,3,4,2,2,6,11,12,8,14,9,3,,,1,4,7,2,2,3,2,1,,,,2,,1,12,6,14,3,4,2,4,2,2,4,7,,2,1,3,3,,,,3,2,3,7,5,2,,2,,1,2
Asystasia,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berlinia-type,TRSH,pollen,NISP,,,,,,,,1,,,,,,,2,,,,,,,,,,,1,1,1,,,,,,,,,,,1,1,,1,,,,,,,,1,,,,,,,,1,,,,,,,,,,2
Brachystegia,TRSH,pollen,NISP,,,2,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,1,1,,1,,,,,,,,,,
Carduus-type,UPHE,pollen,NISP,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,,1
Celosia schweinfurthiana-type,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,
Celtis,TRSH,pollen,NISP,,,,,,3,1,,,,,,,,,,,,,,,,1,,2,,,,,1,,1,,8,,3,1,,,,,,,,,1,,1,1,3,,,,,,,,,,1,,,,,2,,,1
Cliffortia nitidula-type,TRSH,pollen,NISP,,,,,1,,2,,,,2,,,,,,,,,,,,,,,,2,,,4,4,3,2,1,3,2,2,8,1,3,2,1,3,5,12,10,10,7,12,8,9,6,8,2,7,6,2,4,4,2,17,1,1,3,1,,,10
Cordia africana-type,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,,,,,,,,,,1,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,
Cornus volkensii,TRSH,pollen,NISP,,,1,,,,,1,,,1,1,,,,,,,,,,,1,,,,,,,,,1,1,,,1,,1,,,,,,,,2,2,1,,,1,1,,,,1,,,,,2,,,,,,,
Crassocephalum-type (C. montuosum),UPHE,pollen,NISP,,,,,1,,,,,2,3,2,,,1,2,,4,5,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,
Cussonia,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,5
Cyperaceae undiff.,UPHE,pollen,NISP,,238,152,102,86,85,94,75,67,78,176,90,102,86,98,148,191,221,243,259,205,143,96,103,85,185,65,137,34,138,180,82,52,72,60,99,44,62,116,94,66,94,90,188,109,124,76,143,70,65,104,94,52,104,137,157,152,104,90,75,243,134,77,118,73,95,79,128
Diphasium jussiaei-type,VACR,spore,NISP,,,,,,,,1,,7,3,1,1,,2,7,2,7,,6,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,2,,3,,,,,,,1,4,,,,,,,
Dolichos,UPHE,pollen,NISP,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
Encephalartos,SEED,pollen,NISP,,,,,,,,,,2,,,,,,1,1,,,,,,1,,,,,1,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
Englerina,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,
Ericaceae undiff.,TRSH,pollen,NISP,,13,9,32,17,33,27,24,19,27,51,16,9,17,18,22,9,2,,4,3,1,2,3,16,28,38,35,24,11,62,15,6,18,12,24,4,23,96,112,100,103,87,31,28,22,49,39,36,24,104,55,75,79,28,20,51,75,76,91,157,58,46,11,11,19,21,38
Eriocaulon,AQVP,pollen,NISP,,11,8,25,35,22,9,10,12,7,45,16,8,13,6,4,5,,6,5,13,9,11,3,7,14,,,1,,4,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Euphorbia-type,UPHE,pollen,NISP,,,,,,,,,,1,1,,,,1,,,,,1,,,,,,1,,,,,,,,,2,4,,1,,,,2,,1,,,,,,,1,,,,,1,,1,,,,,,,,,,
Ficus,TRSH,pollen,NISP,,,,,,,,2,,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
Hagenia abyssinica,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,1,,,,1,1,1,,3,1,1,,3,4,1,,1,2,,,1,,,,,,,1,,,,,,,,,,,,,,1,,2,,1,3,1,2,1,1
Heliotropium,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,
Hymenocardia acida-type,TRSH,pollen,NISP,,,3,,,,,,,,,1,,,,1,,,,,,,,,,,,,,1,2,1,,1,,,,,,,,,,1,,4,,3,1,1,,,,,,,1,1,,,,,,,,,,
Ilex mitis,TRSH,pollen,NISP,,,3,2,1,1,,,1,1,2,2,,,1,,,,,,1,,,,,2,,,,,1,1,1,1,,,,,1,2,2,,1,,,,1,,3,,1,,1,3,1,2,,1,2,1,,2,4,,,,,
Laurembergia,UPHE,pollen,NISP,,27,39,22,16,36,34,54,53,68,141,53,55,52,56,43,36,29,41,52,60,76,83,164,59,1,1,,,,1,3,1,,,,,,,,1,,,,,,1,,,,,,4,,,,,,,,,1,3,1,,,,
Leucas-type,UPHE,pollen,NISP,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loranthaceae undiff.,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
Lycopodiaceae (foveolate),VACR,spore,NISP,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,2,,,,,,1,,1,,3,1,1,1,,,1,,,,,,,,1,,1,,,2,,1,2,,3,1,
Macaranga,TRSH,pollen,NISP,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,2,,,,,,2,,,,1,,,,,,,1,
Monoletes undiff.,PTER,spore,NISP,,5,5,7,5,4,6,2,11,7,3,4,17,3,6,17,5,23,3,15,7,6,3,3,29,2,1,4,11,3,4,5,5,,,1,1,2,5,2,3,2,6,6,5,5,6,9,18,12,4,11,3,8,12,40,17,17,2,2,17,6,4,3,4,3,5,3
Morella,TRSH,pollen,NISP,,6,12,17,2,7,1,,1,,6,4,1,4,13,3,,6,2,2,8,1,6,5,1,,1,,2,,,,7,2,,,1,,,,,,,,,,,,,,1,1,,,,1,,,,,1,,1,,1,,2,
Neoboutonia-type,TRSH,pollen,NISP,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,4,,,,,,,,,,,1,,1,,,,,,,,,1,,,,1,3
Nuxia-type,TRSH,pollen,NISP,,2,2,2,,2,,1,,4,3,4,,2,4,1,2,,1,,1,1,1,,,5,3,7,,2,2,3,,3,,,,1,2,1,,1,2,1,,1,,1,,1,1,1,1,1,,5,,,2,3,7,1,,,,2,,
Nymphaea lotus-type,AQVP,pollen,NISP,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,
Ocotea,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,2,,,1,,,,,,,,,1,2,1,,,,,,,,,,,1,,,,,,,1,,,,1
Olea,TRSH,pollen,NISP,,4,,7,3,2,3,7,8,7,8,8,8,5,5,4,4,3,,3,2,3,6,3,2,3,3,1,2,3,6,1,7,4,3,6,,4,3,2,2,,2,6,9,9,1,3,1,3,2,2,4,1,2,5,5,,6,1,20,1,1,4,3,3,9,3
Ozoroa-type,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
Poaceae undiff.,UPHE,pollen,NISP,,283,367,407,414,378,374,334,395,317,939,311,370,329,298,256,236,218,242,126,232,165,140,95,138,75,85,69,74,81,150,67,66,72,78,35,119,120,71,45,60,63,68,78,108,92,62,56,51,71,191,25,42,45,33,7,26,23,22,60,66,40,36,22,25,45,56,150
Podocarpus,TRSH,pollen,NISP,,11,13,15,11,10,40,64,32,60,75,45,50,49,45,28,23,18,14,17,22,23,25,11,14,14,39,38,38,48,111,58,63,55,22,37,35,53,77,43,56,40,47,40,34,39,29,22,36,33,56,49,32,47,47,71,32,32,28,36,64,40,22,23,52,58,60,24
Polyscias fulva-type,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,4,,
Protea-type,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,
Psychotria,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Psydrax-type (P. schimperiana),TRSH,pollen,NISP,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Restionaceae undiff.,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,69,69,139,196,172,235,220,337,292,337,236,819,297,312,264,280,299,331,222,195,250,302,207,219,235,230,133,292,269,289,299,345,316,312,285,254,272,258,267,371,295,753,320,360,288,280,307,282,167
Satureja,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Searsia-type (S. natalensis),TRSH,pollen,NISP,,,,,,1,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
Searsia-type (S. tripartita),TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Shirakiopsis-type (S. elliptica),TRSH,pollen,NISP,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Silene/Uebelinia-type,UPHE,pollen,NISP,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Spermatophyta undiff.,SEED,pollen,NISP,,7,17,4,20,17,7,23,6,11,25,14,1,14,5,6,7,17,12,5,7,19,10,29,9,27,7,20,9,5,25,13,5,7,4,8,7,,14,5,9,5,9,2,7,3,1,7,8,5,10,1,4,2,9,5,5,4,10,3,6,2,4,4,13,,9,9
Stellaria mannii-type,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Syzygium-type,TRSH,pollen,NISP,,,,,,,,2,,,,2,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
Triletes undiff.,PTER,spore,NISP,,34,13,11,14,16,21,23,17,33,56,22,36,34,54,76,79,64,66,27,23,29,41,17,15,29,33,45,70,70,161,71,93,131,157,173,90,134,36,40,40,92,84,38,57,157,92,43,78,103,144,64,88,83,96,27,65,68,19,34,129,32,48,138,158,96,96,79
Vernonia-type,UPHE,pollen,NISP,,1,,,,1,1,1,1,2,,1,,,,,,,,,2,,1,,,,1,,2,,,1,,,,1,,1,,,,,,,1,,,,,,1,,1,,,,,,1,,1,2,,,,,,