YBP;Acacia;Acalypha;Alchemilla;Allophylus;Aloe;Anthospermum;Apiaceae;Artemisia;Aster;Asteraceae;Brassicaceae;Capparidaceae;Carduus;Caryophylaceae;Cassia;Chenopodiaceae;Clematis;Combretum;Commiphora;Cussonia;Dobera;Dodonaea;Ephedra;Erica;Euclea;Euphorbiaceae;Ficus;Hagenia;Hypericum;Hypoestes;Iridaceae;Juniperus;Justicia;Lamiaceae;Lannea;Leguminosae;Macaranga;Maytenus;Melastomataceae;Monoletes;Myrica;Myrsine;Olea;Poaceae;Podocarpus;Polygonum;Rapanea;Rhus;Rosa;Rumex;Schefflera;Securinega;Senecio;Solanum;Teclea;Urticaceae;Zanthoxylum;Undetermined
9814;0;0;8;0;0;10;1;2;2;22;1;0;0;0;2;0;2;3;0;0;0;0;1;75;0;0;0;3;2;0;0;10;1;3;0;3;0;0;1;4;5;0;4;291;36;0;0;0;0;0;0;0;3;0;0;1;0;4
9852;0;0;7;0;0;6;0;3;0;19;2;0;0;3;0;4;1;6;0;0;0;0;5;198;0;0;0;2;2;0;0;0;2;1;0;2;0;0;1;4;8;0;2;141;37;0;0;1;0;0;0;0;3;0;0;0;0;2
9868;0;0;7;0;0;2;1;1;2;28;0;1;0;1;1;1;2;6;0;0;0;0;0;58;0;0;0;1;0;0;0;10;1;1;0;1;0;0;1;0;6;0;4;161;50;0;0;1;0;0;0;0;5;0;0;0;0;2
9963;0;0;6;0;0;11;2;8;2;37;0;2;0;3;1;7;2;0;0;0;0;0;0;78;0;0;0;4;0;0;4;5;1;4;0;3;0;0;1;3;1;0;0;189;50;0;0;1;0;0;0;0;1;0;1;0;0;4
10036;0;0;7;0;0;9;1;8;1;30;2;0;0;4;2;19;1;4;0;0;0;0;0;45;0;0;0;1;1;0;3;2;2;4;1;4;0;0;1;0;8;0;4;125;38;0;0;0;0;0;0;0;5;0;0;0;0;1
10101;0;0;0;0;0;9;3;20;0;30;1;0;0;5;1;18;0;3;0;0;0;0;0;100;0;0;0;3;0;0;2;6;1;3;0;4;0;0;1;5;7;0;4;132;35;0;0;1;0;0;0;0;0;0;0;0;0;5
10164;0;0;8;0;1;4;4;5;0;43;1;0;0;4;2;15;0;2;0;0;0;1;0;31;0;1;0;0;3;0;5;10;0;1;0;2;0;0;1;1;9;0;5;193;50;0;0;0;0;0;0;0;3;0;0;0;0;3
10224;0;0;8;0;0;4;0;10;0;43;0;0;0;0;1;1;0;4;0;0;0;0;0;54;0;0;0;4;1;0;1;10;0;0;0;3;0;0;2;2;5;0;2;204;44;0;0;0;0;0;1;0;4;0;0;1;0;1
10276;0;0;6;0;0;3;0;13;2;36;0;0;0;1;0;7;0;0;0;0;0;0;2;67;0;0;0;0;5;0;0;9;0;3;0;4;0;0;1;3;0;0;3;207;39;0;0;0;0;0;0;0;3;0;0;0;0;2
10326;2;0;1;0;0;1;0;8;0;39;2;0;0;4;0;4;0;0;0;0;0;0;1;94;0;0;0;3;2;0;1;0;0;0;0;3;0;0;2;5;8;0;3;354;47;0;1;0;0;0;0;0;3;0;0;0;0;5
10381;0;0;8;0;0;13;1;9;1;45;0;0;0;0;0;13;0;1;0;0;0;0;0;98;0;0;0;5;2;0;3;8;1;2;0;4;0;0;1;0;9;0;4;258;30;0;0;1;0;0;0;0;1;0;0;0;0;1
10471;0;0;4;0;0;3;3;4;1;44;2;0;0;5;0;12;0;3;0;0;0;0;5;114;0;0;0;5;5;0;4;6;2;0;0;0;0;0;1;5;7;0;2;444;30;0;0;0;0;0;0;0;5;0;0;0;2;4
10545;0;0;7;0;0;14;5;15;0;39;1;0;0;3;0;30;0;1;0;0;0;0;5;51;0;0;0;3;0;2;0;2;2;2;0;4;0;0;2;3;9;0;5;234;41;0;0;0;0;0;0;0;4;0;0;0;1;4
10569;0;0;2;0;0;15;2;19;1;44;1;0;0;3;0;17;0;2;0;0;2;0;2;70;0;0;0;2;0;0;5;4;0;4;0;0;0;0;0;0;10;0;5;455;38;0;0;1;1;0;0;0;1;0;0;0;0;0
10588;0;1;3;0;0;9;5;3;2;32;2;0;0;3;1;22;0;3;0;0;0;0;2;72;0;0;0;3;0;0;1;8;2;4;0;2;0;0;0;1;3;0;2;152;38;0;0;1;0;0;0;0;5;0;0;0;0;0
10626;0;0;7;0;0;9;5;9;0;42;0;0;0;1;0;41;0;0;0;0;0;0;3;102;0;0;0;4;0;0;3;6;1;2;0;5;0;0;0;3;7;0;2;201;45;0;0;0;0;0;0;1;4;0;0;0;0;0
10643;0;0;3;0;0;0;0;14;0;28;0;0;0;5;0;44;0;0;0;0;0;0;2;28;0;0;0;5;0;0;3;4;2;3;0;1;0;0;0;1;4;0;5;301;44;0;0;1;0;0;0;0;5;0;0;0;0;2
10668;0;0;4;0;0;0;1;14;1;34;1;0;0;5;2;15;0;5;0;0;0;0;3;24;0;2;0;1;0;0;3;8;1;1;0;1;0;0;0;4;7;0;3;441;43;0;0;1;0;0;0;0;3;0;0;2;0;5
10717;0;0;3;0;0;0;5;20;1;34;0;2;0;2;0;16;0;3;0;0;0;0;1;60;0;0;0;2;0;0;3;0;1;1;0;0;0;0;0;5;4;0;0;382;42;0;0;0;0;0;0;0;0;0;0;1;0;5
10768;0;0;1;0;0;4;2;18;1;40;0;1;0;3;0;45;0;2;0;0;0;0;3;8;0;0;0;2;0;0;5;1;0;3;0;3;0;0;0;1;3;0;5;205;32;0;0;1;0;0;0;1;0;0;0;0;0;5
10779;0;0;7;0;0;13;1;19;0;44;2;0;0;4;0;40;0;0;0;0;0;0;0;96;0;0;0;0;0;0;4;4;0;3;0;2;0;0;0;1;2;0;5;244;34;0;0;1;0;0;0;0;2;0;0;0;0;2
10800;0;0;5;0;1;2;3;13;0;36;1;0;0;5;0;45;0;3;0;0;0;0;4;87;0;0;0;4;0;0;3;5;2;1;0;1;0;0;0;4;1;0;2;275;42;0;0;0;0;0;0;0;0;0;0;0;0;2
10818;0;0;0;0;0;1;2;4;1;42;1;0;0;0;0;35;0;5;0;0;0;0;0;121;0;0;0;2;0;0;4;15;1;1;0;3;0;0;0;3;1;0;3;427;39;0;2;0;0;0;0;0;3;0;0;0;0;5
10848;0;0;1;0;0;0;0;4;1;25;1;0;0;4;0;21;0;4;0;0;0;0;4;124;0;0;0;4;0;0;0;15;2;4;0;4;0;0;0;2;2;0;1;280;32;0;0;1;0;0;0;0;3;0;0;0;0;3
10863;0;0;0;0;0;1;2;19;0;24;2;0;0;2;0;22;0;1;0;0;0;0;0;76;0;0;0;1;0;0;1;20;0;3;0;3;0;0;0;2;4;0;0;145;33;0;0;1;0;0;0;0;3;0;0;0;0;1
10890;0;0;6;0;0;1;3;0;1;36;0;0;0;0;0;27;0;0;0;0;0;0;0;58;0;0;0;2;0;0;1;15;1;2;0;5;0;0;0;0;4;0;2;296;30;0;0;1;0;0;0;0;3;0;0;0;0;3
10914;0;0;6;0;0;1;0;8;2;44;1;0;0;3;2;26;0;5;0;0;0;0;4;65;0;0;0;2;0;0;3;18;2;3;0;1;0;0;0;5;4;0;5;424;33;0;0;0;0;0;0;0;4;0;0;0;0;2
10943;0;0;7;0;0;2;0;4;0;45;1;0;0;4;1;23;0;5;0;0;0;0;1;48;0;0;0;1;0;0;2;16;2;3;0;3;0;0;0;2;2;0;0;260;32;0;0;1;0;0;0;0;5;0;0;0;0;1
10979;1;0;7;0;0;2;2;29;0;31;0;0;0;3;0;37;0;5;0;0;0;0;0;32;0;0;0;1;0;0;0;17;2;3;0;4;0;0;1;0;1;0;4;139;49;0;0;1;0;0;0;0;2;0;0;0;0;0
11018;0;0;3;0;0;0;4;30;1;33;1;0;0;0;0;38;0;2;0;0;2;0;0;14;0;0;0;2;0;0;1;15;2;0;1;5;0;0;0;5;4;0;4;306;48;0;1;0;0;0;0;0;2;0;0;0;0;3
11071;0;0;3;0;0;1;0;27;1;34;1;0;0;0;0;44;0;0;0;0;0;0;0;4;0;0;0;4;0;0;1;15;1;2;0;5;1;0;0;0;0;0;4;414;43;0;0;0;0;0;0;0;1;0;0;0;0;0
11129;0;2;8;0;0;2;4;20;2;46;1;0;0;0;0;24;0;3;0;0;0;0;0;21;0;0;0;4;0;0;2;18;1;2;2;1;0;0;0;5;4;0;3;419;40;0;0;0;0;0;0;0;2;0;0;1;0;1
11196;0;0;3;0;0;1;1;30;2;33;0;0;0;4;0;15;0;0;0;0;0;0;0;17;0;0;0;0;0;1;0;16;0;5;0;4;0;0;0;2;2;0;2;244;45;0;1;0;0;0;0;0;4;0;0;0;0;2
11226;0;0;5;0;0;1;4;26;0;36;2;0;0;4;0;31;0;3;0;0;0;0;0;8;0;0;0;3;0;0;0;18;1;0;0;1;0;0;0;3;2;0;5;307;44;0;0;0;0;0;0;0;2;0;0;0;0;5
11323;0;0;1;0;0;0;2;26;1;36;1;0;0;2;0;17;0;0;0;0;0;0;0;14;0;0;0;4;0;0;5;16;2;0;0;0;0;0;0;2;0;0;4;213;41;0;0;0;0;0;0;0;4;0;0;0;0;3
11431;1;0;6;0;0;2;0;28;1;34;2;0;0;1;0;33;0;3;0;0;0;0;0;7;0;0;0;4;0;0;2;20;2;4;0;5;0;0;0;4;2;0;1;192;41;0;0;0;0;0;0;0;5;0;0;0;0;0
11593;2;0;7;0;0;1;0;34;0;35;0;0;0;2;0;45;0;3;0;0;0;0;0;6;0;0;0;1;0;0;2;18;0;2;0;1;0;0;0;3;0;0;0;297;50;0;0;0;0;0;0;0;3;0;0;0;0;4
11698;1;0;3;0;0;0;1;21;2;33;0;0;0;2;0;23;0;5;0;0;0;0;0;10;0;0;0;1;0;0;3;10;1;4;0;2;0;0;0;1;1;0;0;239;31;0;0;0;0;0;0;0;0;0;0;0;0;1
11792;3;0;1;0;0;0;5;23;2;33;0;3;0;3;0;44;0;4;0;0;0;0;0;5;1;0;0;4;0;0;4;9;2;1;0;4;0;0;0;2;0;0;0;196;37;0;0;0;0;0;0;0;2;0;0;0;0;4
11877;0;0;3;0;0;0;1;33;1;32;2;0;0;5;0;29;0;1;0;0;0;2;0;17;4;0;0;5;0;0;1;8;1;2;0;5;0;0;0;4;0;0;2;169;33;0;1;0;0;0;0;0;2;0;0;0;0;2
11992;0;0;5;0;0;0;0;30;1;39;0;0;0;1;0;37;0;4;0;0;0;0;0;14;2;0;0;0;0;0;1;11;1;5;0;2;0;0;0;5;1;0;3;134;48;0;0;0;0;0;0;0;2;0;0;0;0;2
12158;0;0;6;0;1;1;1;23;2;34;2;0;0;5;0;37;0;3;0;0;0;0;0;10;1;0;0;2;0;0;2;15;0;3;0;5;0;0;0;0;3;0;5;233;39;0;0;0;0;0;0;0;5;0;0;0;0;2
12260;0;0;8;0;0;2;2;25;1;28;1;0;0;3;0;34;0;3;0;0;0;0;0;9;4;0;0;2;0;0;3;13;0;0;0;3;0;0;0;4;3;0;5;290;39;0;0;0;0;0;0;0;0;0;0;0;1;5
12315;0;0;14;0;0;2;0;10;0;27;2;0;0;1;0;33;0;1;0;0;0;0;0;21;5;0;0;4;0;0;1;7;0;3;0;1;0;0;0;4;2;0;5;305;31;0;0;0;0;0;0;0;1;0;0;0;0;3
12389;0;0;15;0;0;1;2;12;0;30;0;0;0;3;0;19;0;3;0;0;0;0;0;12;2;1;0;3;0;0;2;12;2;5;0;5;0;0;0;3;2;0;4;373;44;0;0;0;0;0;0;0;1;0;0;0;0;3
12463;0;0;8;0;0;0;3;12;0;42;0;0;0;3;0;21;0;2;0;0;0;0;0;10;2;0;0;0;0;0;4;7;0;0;0;2;0;0;0;0;2;0;3;373;35;0;0;0;0;0;0;0;3;0;0;0;0;2
12556;0;0;11;0;0;0;2;9;1;31;1;1;0;5;1;34;0;0;0;0;0;0;0;12;1;0;0;0;0;0;4;6;0;2;0;0;0;0;0;4;3;0;3;355;44;0;0;0;0;0;0;0;0;0;0;0;0;5
12615;1;0;12;0;0;2;3;32;2;36;1;0;0;5;1;29;0;0;0;0;0;0;0;9;1;0;0;4;0;2;1;8;1;2;0;0;0;0;0;2;0;0;2;195;17;0;0;0;0;0;0;0;4;0;0;0;0;1
12695;0;0;6;0;0;0;0;8;1;28;2;2;0;4;0;33;0;2;0;0;0;0;0;18;2;0;0;4;0;0;3;12;0;5;0;3;0;0;0;5;1;0;1;136;25;0;0;0;0;0;0;0;4;0;0;0;0;1
12759;0;0;11;0;0;1;4;11;1;30;2;0;0;2;0;27;0;1;0;0;0;0;0;15;1;0;0;5;0;0;5;6;0;5;0;1;0;0;0;3;4;0;0;367;24;0;0;0;0;0;0;0;1;0;0;0;0;1
12802;0;0;18;0;0;2;5;12;0;34;2;0;0;0;0;17;0;2;0;0;0;0;0;3;0;0;0;4;0;0;5;12;2;1;0;5;0;0;0;5;1;0;0;278;21;0;0;0;0;0;0;0;0;0;0;1;0;0
12867;0;0;7;0;0;1;4;5;1;42;2;0;0;5;0;34;0;3;0;0;0;0;0;11;1;0;0;4;0;0;2;14;0;0;0;5;0;0;0;3;2;0;0;297;12;0;0;0;0;0;0;0;4;0;0;0;0;5
12883;0;0;15;0;0;1;4;9;0;36;1;0;0;4;0;25;0;3;0;0;0;0;0;17;0;0;0;1;0;0;4;13;0;4;0;0;0;0;0;0;0;0;0;360;30;0;0;0;0;0;0;0;4;0;0;0;0;1
12902;0;0;7;0;0;0;5;10;1;33;0;0;0;0;0;40;0;3;0;0;0;0;2;8;0;0;0;3;0;0;0;10;0;5;0;0;0;0;0;5;1;0;0;372;12;0;0;0;0;0;0;0;4;0;0;0;0;3
12924;0;0;9;0;0;2;3;7;1;38;0;1;0;4;0;44;0;1;0;0;0;0;1;10;0;0;0;0;0;0;4;19;2;2;0;0;0;0;1;2;4;0;0;451;20;0;0;0;0;0;0;0;2;0;0;0;0;4
12947;0;0;16;0;0;0;1;8;1;45;2;0;0;3;0;28;0;1;0;0;0;0;4;6;0;0;0;2;0;0;1;18;0;0;0;2;0;0;0;4;2;0;0;417;18;0;0;0;0;0;0;0;1;0;0;0;0;5
12970;0;0;8;0;0;1;0;10;2;34;2;0;0;0;0;15;0;2;0;0;0;0;0;8;0;0;0;0;0;0;5;18;0;5;0;2;0;0;0;1;4;0;0;424;20;0;0;0;0;0;0;0;0;0;0;0;0;2
12990;0;0;17;0;0;0;5;11;1;27;0;0;0;1;0;32;0;1;0;0;0;1;4;11;0;0;0;0;0;0;2;18;1;1;0;2;0;0;0;2;0;0;1;218;28;0;0;0;0;0;0;1;0;0;0;0;0;5
13008;0;0;13;0;0;0;0;16;1;22;2;0;0;1;0;43;0;0;0;0;0;0;3;26;0;0;0;2;0;0;3;17;0;2;0;5;0;0;0;2;2;0;0;150;10;0;0;0;0;0;0;0;2;0;0;0;0;5
13027;0;0;1;0;0;0;4;8;1;10;2;3;0;3;0;23;0;4;0;0;0;0;1;8;0;0;0;0;0;0;1;17;0;5;0;5;0;0;0;5;3;0;0;316;22;0;0;0;0;0;0;0;4;0;0;0;0;2
13042;0;0;5;0;0;0;2;9;2;23;0;0;0;1;2;103;0;1;0;0;0;0;1;19;0;1;0;2;0;0;4;15;2;0;0;3;0;0;0;3;2;0;0;419;24;0;0;0;0;0;0;0;1;0;0;0;0;5
13055;0;0;6;0;0;1;5;12;1;15;0;0;0;4;0;105;0;1;0;0;0;0;7;5;0;0;0;5;0;0;5;19;2;0;0;5;0;0;0;5;3;0;0;164;4;0;0;0;0;0;0;2;1;0;0;0;0;1
13063;0;0;5;0;0;1;2;11;1;34;2;0;0;1;0;125;0;5;0;0;0;0;10;4;0;0;0;2;0;1;4;20;2;5;0;2;0;0;0;2;0;0;0;367;0;0;0;0;0;0;0;0;2;0;0;1;0;2
13073;0;0;4;0;0;0;4;8;0;22;0;0;0;4;0;131;0;5;0;0;0;0;5;9;0;0;0;3;0;0;1;15;2;4;0;4;0;0;0;2;2;0;1;186;0;0;0;0;0;0;0;0;0;0;0;0;0;3
13082;0;0;3;0;0;2;3;9;0;17;0;0;0;2;0;134;0;5;0;0;0;0;10;11;0;0;0;5;0;0;1;19;1;4;0;3;0;0;0;2;0;0;0;386;0;0;0;0;0;0;0;2;0;0;0;0;0;2
13092;0;2;4;0;0;0;2;2;2;34;2;0;0;1;0;136;0;4;0;0;0;0;9;9;0;0;0;2;0;0;4;18;0;0;0;0;0;0;0;4;3;0;0;224;6;0;0;0;0;0;0;0;1;0;0;0;0;4
13104;0;0;0;0;0;1;3;3;0;11;1;0;0;3;0;118;0;0;0;0;0;0;6;10;0;0;0;0;0;0;5;17;0;5;0;0;0;0;0;2;2;0;0;137;1;0;0;0;0;0;0;0;2;0;0;0;0;3
13116;0;0;1;0;0;1;0;8;0;11;2;0;0;5;0;136;0;3;0;0;0;0;6;16;0;0;0;3;0;0;0;16;2;1;0;4;0;0;0;2;2;0;0;353;2;0;0;0;0;0;0;0;0;0;0;0;0;5
13131;0;0;1;0;0;2;4;6;1;27;1;0;0;5;1;110;0;5;0;0;0;0;8;8;0;0;0;4;0;0;5;17;0;3;0;3;0;0;0;5;0;0;0;231;8;0;0;0;0;0;0;0;4;0;0;0;0;3
13151;0;0;1;0;1;1;3;1;0;33;2;0;0;3;1;120;0;2;0;0;0;1;9;7;0;0;0;3;0;0;5;15;2;3;0;0;0;0;0;2;1;0;0;373;4;0;0;0;0;0;0;0;1;0;0;0;0;2
13165;0;0;3;0;0;2;2;6;1;19;2;1;0;5;0;106;0;3;0;0;0;0;7;11;0;0;0;4;0;0;4;16;2;2;0;1;0;0;0;3;4;0;0;183;6;0;0;0;0;0;0;1;5;0;0;0;0;0
13178;0;0;5;0;0;2;3;8;0;17;2;0;0;4;0;131;0;5;0;0;0;0;6;9;0;0;0;2;0;0;3;16;1;1;0;3;0;0;0;3;3;0;0;425;2;0;0;0;0;0;0;0;4;0;0;1;0;5
13205;0;0;6;0;0;1;4;19;2;17;0;0;0;3;0;133;0;4;0;0;0;0;10;18;0;0;0;5;0;0;0;19;0;4;0;1;0;0;0;3;1;0;0;248;6;0;0;0;0;0;0;0;2;0;0;0;0;0
13234;0;0;4;0;0;0;5;20;1;12;1;1;0;5;0;99;0;0;0;0;0;0;7;14;0;0;0;5;0;0;2;17;1;0;0;0;0;0;0;3;2;0;0;392;4;0;0;0;0;0;0;0;1;0;0;0;0;4
13264;0;0;3;0;0;0;0;16;0;19;1;0;0;0;0;128;0;4;0;0;0;0;5;7;0;0;0;2;0;0;0;17;1;5;0;2;0;0;0;2;1;0;0;446;0;0;1;0;0;0;0;0;2;0;0;0;0;5
13286;0;0;0;0;0;2;3;5;2;12;1;0;0;4;0;108;0;4;0;0;0;0;7;5;0;0;0;1;0;0;1;16;0;4;0;3;0;0;0;5;2;0;0;450;1;0;0;0;0;0;0;0;3;0;0;0;0;0
13302;0;0;4;0;0;0;0;21;0;26;0;0;0;0;0;144;0;1;0;0;0;0;6;8;0;0;0;5;0;0;3;15;2;0;0;0;0;0;0;2;3;0;0;330;4;0;0;0;0;0;0;0;4;0;0;0;0;5
13324;0;0;3;0;0;1;4;14;1;25;0;0;0;5;0;90;0;4;0;0;0;0;6;10;0;0;0;3;0;0;4;17;2;2;0;5;0;0;0;1;0;0;0;225;2;0;0;0;0;0;0;0;3;0;0;0;0;5
13359;0;0;0;0;0;1;0;11;1;34;0;0;0;0;0;127;0;4;0;0;0;0;10;8;0;0;0;5;0;0;3;19;2;5;0;0;0;0;0;3;3;0;0;319;3;0;0;0;0;0;0;0;1;0;0;0;0;3
13379;0;2;0;0;0;1;2;8;0;32;1;2;0;5;0;101;0;4;0;0;0;2;5;5;0;0;0;1;0;0;0;19;2;0;0;1;0;0;0;3;4;0;0;193;2;0;0;0;0;0;0;0;5;0;0;0;0;3
13397;0;0;3;0;0;0;0;17;0;34;0;0;0;0;0;111;0;1;0;0;0;0;5;15;1;0;0;5;0;0;4;15;0;1;0;5;0;0;0;0;0;0;0;406;0;0;0;0;0;0;0;0;2;0;1;1;0;2
13425;0;0;4;0;0;2;5;18;1;21;2;0;0;3;0;94;0;2;0;0;0;0;6;9;1;1;0;3;0;1;4;15;0;3;0;1;0;0;0;3;0;0;0;332;0;0;0;0;0;0;0;0;3;0;0;0;0;2
13447;0;0;2;0;0;2;1;15;1;23;0;0;0;3;0;108;0;5;0;0;0;0;5;14;0;0;0;2;0;0;1;16;0;1;0;0;0;0;0;0;1;0;0;301;0;0;0;0;0;0;0;0;0;0;0;0;0;4
13474;0;0;1;0;0;2;2;12;2;28;1;0;0;3;1;98;0;2;0;0;0;0;9;17;0;0;0;5;0;0;2;17;2;1;0;0;0;0;0;2;4;0;0;413;0;0;0;0;0;0;0;0;2;0;0;0;0;5
13490;0;0;4;0;0;2;3;0;1;61;1;0;0;2;0;97;0;1;0;0;0;0;10;21;0;0;0;1;0;0;4;17;0;4;0;2;0;0;0;3;4;0;0;410;0;0;0;0;0;0;0;0;4;0;0;0;0;5
13518;0;0;4;0;0;1;2;5;0;60;0;0;0;1;0;125;0;4;0;0;0;0;8;0;0;0;0;2;0;0;0;18;1;2;0;5;0;0;0;4;4;0;0;319;0;0;0;0;0;0;0;0;2;0;0;0;0;1
13574;0;0;3;0;0;0;2;17;2;16;1;0;0;0;0;108;0;2;0;0;0;0;5;0;0;0;0;2;0;0;3;19;0;5;0;2;0;0;0;1;3;0;0;411;0;0;0;0;0;0;0;0;4;0;0;0;0;3
13700;0;2;0;0;1;0;2;21;0;43;1;0;0;0;0;92;0;1;0;0;0;0;8;0;0;0;0;2;0;0;4;20;1;0;0;4;0;0;0;1;1;0;0;349;0;0;0;0;0;0;0;0;3;0;0;0;0;1
