"name","group","element","units","context","S438004","S438005","S438006","S438007","S438008","S438009","S438010","S438011","S438012","S438013","S438014","S438015","S438016","S438017","S438018","S438019","S438020","S438021","S438022","S438023","S438024","S438025","S438026","S438027","S438028","S438029","S438030","S438031","S438032","S438033","S438034","S438035","S438036","S438037","S438038","S438039","S438040","S438041","S438042","S438043","S438044","S438045","S438046","S438047","S438048","S438049","S438050"
AnalysisUnitName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depth,,,,,75,95,115,135,155,175,195,215,225,235,240,245,250,255,260,265,270,275,280,285,289,295,300,305,309,315,320,325,330,335,355,375,395,415,435,455,475,495,515,555,575,595,615,635,655,675,695
Thickness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample ID,,,,,438004,438005,438006,438007,438008,438009,438010,438011,438012,438013,438014,438015,438016,438017,438018,438019,438020,438021,438022,438023,438024,438025,438026,438027,438028,438029,438030,438031,438032,438033,438034,438035,438036,438037,438038,438039,438040,438041,438042,438043,438044,438045,438046,438047,438048,438049,438050
APD 1,Radiocarbon years BP,,,,--/617/--,--/1769/--,--/2922/--,--/4074/--,--/5226/--,--/6378/--,--/7531/--,--/7916/--,--/7997/--,--/8079/--,--/8119/--,--/8160/--,--/8269/--,--/8379/--,--/8488/--,--/8597/--,--/8707/--,--/8816/--,--/8925/--,--/9035/--,--/9122/--,--/9254/--,--/9363/--,--/9472/--,--/9560/--,--/9691/--,--/9800/--,--/9910/--,--/10019/--,--/10663/--,--/13475/--,--/16288/--,--/19100/--,--/20260/--,--/21420/--,--/22740/--,--/24220/--,--/25700/--,--/27180/--,--/30140/--,--/31620/--,--/33100/--,--/34580/--,--/36060/--,--/37540/--,--/39020/--,--/40500/--
APD 2,Calibrated radiocarbon years BP,,,,2540/647/-901,3716/1941/27,4727/3310/1429,5432/4597/3262,6980/5912/5168,8103/7141/6034,8722/8354/7741,9245/8846/8387,9444/9008/8565,9633/9175/8741,9717/9259/8850,9834/9344/8922,9955/9470/9053,10175/9596/9120,10332/9739/9233,10577/9879/9303,10716/10026/9438,10956/10174/9522,11066/10316/9657,11261/10458/9741,11345/10571/9864,11540/10742/9973,11653/10885/10149,11828/11028/10265,11912/11145/10424,12086/11320/10579,12205/11463/10792,12347/11606/10928,12458/11763/11262,12618/11924/11455,18877/15397/12668,21957/19012/15379,23645/22575/20928,25590/24274/22967,26872/25577/24176,28116/26963/25796,30239/28363/26722,31828/29723/27723,33238/31116/28976,35975/33893/31893,38104/35318/32843,40025/36707/33881,41924/38134/34886,43798/39539/35900,45644/40949/36986,47389/42354/38101,49096/43762/39277
Acalypha,UPHE,pollen,NISP,,2,7,8,6,9,6,2,1,1,2,,1,3,1,5,1,2,1,3,3,3,4,1,3,,2,1,,,,1,1,,,1,1,,,,2,,3,,,,,1
Aerva-type (A. lanata),UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Aeschynomene-type (A. baumii),TRSH,pollen,NISP,,7,4,7,5,3,7,1,,2,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
Alchemilla,UPHE,pollen,NISP,,,,,,,,,,1,3,1,1,2,,,5,1,8,7,18,10,14,8,22,17,15,17,13,25,1,4,2,8,27,17,22,13,21,11,7,8,,4,,3,,
Alchornea,TRSH,pollen,NISP,,3,3,2,13,5,20,19,19,16,18,15,11,15,35,16,9,8,13,9,4,4,11,1,5,4,5,3,5,3,,1,,,,,,,,,,,,1,,,,
Allophylus,TRSH,pollen,NISP,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aloe-type,SUCC,pollen,NISP,,,,,,,,,3,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amaranthaceae,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,
Anagallis-type,UPHE,pollen,NISP,,,5,,1,,,,3,1,,,3,,4,,,,,,,,,,,,,,,,,,,,16,6,1,,,,,,,,,,,
Anthocerotaceae,UPBR,spore,NISP,,,,,2,3,,2,1,3,3,2,,2,3,1,2,3,6,7,8,2,4,14,23,24,23,25,26,,41,50,32,14,2,1,25,8,12,21,13,39,,4,,1,2,
Anthocleista,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Anthospermum,UPHE,pollen,NISP,,,,,,,1,1,1,1,,,,,1,,,,1,1,1,1,,2,,1,2,1,,,2,2,,,,1,4,3,2,3,,1,,1,,,,
Apiaceae,UPHE,pollen,NISP,,12,4,12,14,3,2,7,1,7,8,7,9,5,4,2,4,3,3,4,6,5,3,7,5,6,4,1,1,7,11,7,9,14,83,46,18,18,14,28,12,2,2,9,,1,9,2
Apodytes dimidiata,TRSH,pollen,NISP,,6,6,13,9,4,1,1,1,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,4,7,7,10,10,8,6
Artemisia,UPHE,pollen,NISP,,,1,,,,,,,,1,,,,2,,,1,,,,,,,,1,,,2,1,1,,1,,,,1,,,1,,1,,1,,,,
Ascolepis,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,1,,,,,,,,,,1,,,,,,,
Asteroideae,UPHE,pollen,NISP,,16,11,19,13,10,23,15,6,12,12,13,18,17,15,19,12,15,13,37,39,43,24,22,16,9,8,19,27,25,15,11,13,13,19,17,19,25,18,11,13,46,12,24,11,8,12,3
Begonia,UPHE,pollen,NISP,,,,,,,,,,,,3,1,1,,3,4,2,,,2,2,2,,,,,,,,,,,,,,,2,,,,,,,,,,
Bersama abyssinica,TRSH,pollen,NISP,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brachystegia,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Bridelia,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,
Canthium gueinzii-type,TRSH,pollen,NISP,,,1,,,1,2,,2,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,1
Canthium schimperianum,TRSH,pollen,NISP,,1,1,,1,,3,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,4,,,2
Carduus-type,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,4,,1,,,1,,,1,1,,,,,,,,
Cassia-type (C. mimosoides),TRSH,pollen,NISP,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Celtis,TRSH,pollen,NISP,,8,9,17,7,3,7,2,5,,,2,5,5,,1,1,3,5,1,1,1,,1,2,1,1,1,1,1,,1,,,,1,,,,,,1,2,,,,,
Cerastium-type (C. octandrum),UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,1,,1,,,,,,,1,,,,,,1,,
Chenopodiaceae sensu stricto,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
Cichorieae,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,
Cleistanthus-type,TRSH,pollen,NISP,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clematis,UPHE,pollen,NISP,,1,2,3,,2,2,,,1,2,,1,,,1,,,1,,,,1,,,,,1,,,,1,,1,,,,1,,,1,,,2,1,,,
Cliffortia nitidula,TRSH,pollen,NISP,,,,,,,,,,1,3,2,7,,3,3,5,10,7,3,5,1,1,4,4,,1,,3,4,,,,,,1,1,1,,,1,1,,,,,,
Clutia,TRSH,pollen,NISP,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,2,3,,1,
Combretaceae,TRSH,pollen,NISP,,,1,,2,,,,3,,,,,1,1,2,,,1,,1,,,,1,,,,,,,,,,,,1,,,,,,2,1,,,,
Cornus volkensii,TRSH,pollen,NISP,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,1,,,,,,,,,
Crassocephalum-type (C. montuosum),UPHE,pollen,NISP,,1,,,,,,,,,,,,,2,,,,,,1,,1,,,3,4,3,3,2,4,12,6,4,1,2,3,,5,2,,,,1,,,,
Croton-type,TRSH,pollen,NISP,,,,,,1,,,,,,1,,,,2,1,1,1,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,
Cucurbitaceae,UPHE,pollen,NISP,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyperaceae,UPHE,pollen,NISP,,218,196,184,144,245,135,103,106,139,150,153,222,155,241,223,184,188,210,174,149,167,265,190,134,167,205,142,150,196,187,436,300,166,14,77,128,91,106,99,140,310,105,398,24,98,48,7
Dipsacoideae,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,,,,,,,,
Dodonaea viscosa,TRSH,pollen,NISP,,5,,4,2,,,,,,,,1,,1,,,,1,1,,,1,1,,1,,1,,,,,,,,1,1,,,,1,4,2,3,1,1,1,
Dombeya-type,TRSH,pollen,NISP,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
Dracaena steudneri-type,SUCC,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Ekebergia-type,TRSH,pollen,NISP,,1,5,2,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
Entada-type,TRSH,pollen,NISP,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
Ericaceae,TRSH,pollen,NISP,,58,27,61,71,34,58,71,65,73,93,55,59,65,73,68,89,47,51,57,57,51,44,34,51,90,56,31,56,57,11,14,29,57,164,70,16,34,17,32,41,87,4,8,1,2,8,1
Eriocaulaceae,AQVP,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,1,,,1,3,,,3,3,6,4,,,,,,1,1,4,,,,9,,,,
Euclea,TRSH,pollen,NISP,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
Euphorbia-type,UPHE,pollen,NISP,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Faboideae,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,3,,,,,
Ficus,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galiniera coffeoides,TRSH,pollen,NISP,,,2,4,1,1,1,,1,4,2,,2,1,10,3,5,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geranium,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
Hagenia abyssinica,TRSH,pollen,NISP,,7,1,3,4,3,3,2,1,1,3,2,2,2,2,2,1,3,9,8,18,12,11,10,3,1,2,2,3,2,1,,,1,,1,,,,,,,,,,,,
Harungana,TRSH,pollen,NISP,,,,,1,,,,1,,,,1,1,,1,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,
Hydrocotyle,AQVP,pollen,NISP,,,,,1,,,,,,1,,,,1,,,2,,,2,,,1,1,,1,,1,,,,1,,2,,,,1,,,4,,,,1,,
Hymenocardia,TRSH,pollen,NISP,,1,,,1,1,,1,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Hypericum,UPHE,pollen,NISP,,,2,2,2,,1,2,,,,2,,,2,,,,,,,1,1,2,,,,,,,,,,,1,,,,,,,1,,,,,,
Ilex mitis,TRSH,pollen,NISP,,1,1,,3,2,,,2,,1,,,,,,1,,,,,1,,,,,,,,,,,,1,,,,,,,,,,2,1,,,1
Impatiens,UPHE,pollen,NISP,,1,,,,,,,,,,1,2,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,1,,,,,1,1,1
Isoglossa,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,1,,,,,,,,,,,,,
Justicia striata-type,UPHE,pollen,NISP,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kotschya-type,UPHE,pollen,NISP,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,
Lamiaceae,UPHE,pollen,NISP,,,,1,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,2,1,,2
Laurembergia tetrandra,UPHE,pollen,NISP,,2,4,18,6,20,40,9,1,3,,,,,,,,2,2,,,,4,16,1,,,,1,,,,,,,,,,,,1,1,,3,,,,
Lobelia,UPHE,pollen,NISP,,1,,,,,,,,,,1,,,,1,,,,3,,,1,1,,,,,,1,,,,,,,,2,1,,1,,,,,,,
Loranthaceae,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,
Macaranga,TRSH,pollen,NISP,,24,17,11,11,4,28,52,20,20,42,59,31,39,32,44,35,40,11,21,21,23,16,9,11,11,7,4,6,12,3,3,,1,3,2,1,2,1,2,5,,,2,1,,3,5
Maesa lanceolata,TRSH,pollen,NISP,,4,,,,,2,1,,2,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Margaritaria-type (M. discoidea),UPHE,pollen,NISP,,,1,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melastomataceae,TRSH,pollen,NISP,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mimulopsis-type,UPHE,pollen,NISP,,,,1,,,,,,,,,,,,,1,,1,1,,,1,,,,,,,,,,,,,,,,,,,,2,1,,1,2,1
Mitragyna-type (M. rubrostipulata),TRSH,pollen,NISP,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Monocotyledoneae,SEED,pollen,NISP,,,,,,,,,2,,7,1,,,,,2,2,,,,2,,1,,,,,1,,,,,,,,,,,1,,4,,,,,,3
Monoletes,PTER,spore,NISP,,13,19,23,16,14,27,89,24,74,82,49,49,61,63,37,38,41,45,62,61,75,54,50,43,35,15,17,23,34,5,12,7,3,10,2,7,39,8,11,172,23,7,174,326,386,208,386
Moraceae,TRSH,pollen,NISP,,3,3,7,3,2,6,5,4,3,3,2,,,7,6,3,4,1,4,6,5,4,,2,,1,,,2,,,,,,,,,,,,,,,,,,
Myrica,TRSH,pollen,NISP,,,,,,,2,,,,,,1,,1,,,,,1,1,,1,,4,6,4,5,1,3,7,5,4,5,5,4,3,1,6,4,3,1,2,,,,,
Nuxia/Ficalhoa,TRSH,pollen,NISP,,3,6,32,16,11,7,7,,3,,,1,4,,1,3,1,,1,2,,1,,,1,,2,2,,,,,,,,,,1,,2,6,35,15,5,7,3,
Oldenlandia-type,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2,3,1,6,10,2,22,1
Olea capensis,TRSH,pollen,NISP,,11,10,11,8,6,8,4,1,2,11,2,7,2,4,5,,7,4,7,7,5,6,15,8,2,5,2,4,4,6,5,5,5,8,9,8,21,5,7,34,44,82,105,117,97,79,27
Olea europaea subsp. cuspidata,TRSH,pollen,NISP,,,,,,,,,,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,1
Osmunda,VACR,spore,NISP,,3,4,2,1,,2,1,10,7,6,3,10,1,14,4,4,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Parinari-type,TRSH,pollen,NISP,,,,,1,,,,,1,,1,1,,4,,3,,2,,,3,1,,1,1,,,,,,,1,,1,,,,,4,2,9,,3,,,,
Phoenix reclinata,PALM,pollen,NISP,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyllanthus-type (P. fraternus),UPHE,pollen,NISP,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,1,
Phyllanthus-type (P. rivae),UPHE,pollen,NISP,,,,,,,,8,,10,12,11,9,10,10,11,9,5,2,3,3,1,,,,,,,1,,,,,,,,,5,,,,,,4,,3,,
Pilea-type (P. bambuseti),UPHE,pollen,NISP,,,1,3,2,,,,,,1,1,,,1,1,,1,,,2,,1,2,,,,,,,,,,,,,,,,,,,,,,,,
Poaceae,UPHE,pollen,NISP,,38,26,20,38,19,41,50,29,40,46,33,51,21,36,32,36,46,74,67,69,74,74,129,166,169,186,234,185,210,319,312,197,163,77,143,204,156,209,322,74,69,24,51,15,40,33,23
Podocarpus,TRSH,pollen,NISP,,7,15,14,12,10,12,10,9,14,5,6,5,3,2,7,11,12,12,9,11,8,7,11,19,21,10,8,16,27,12,14,7,11,16,14,12,21,14,13,42,145,140,115,51,43,43,3
Polyscias fulva-type,TRSH,pollen,NISP,,1,8,6,3,4,5,1,12,2,4,3,3,2,3,1,3,1,1,,,1,2,,1,,1,,,,,,,,,,,,,,,,,1,,,,
Potamogeton thunbergii-type,AQVP,pollen,NISP,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protea-type,TRSH,pollen,NISP,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,1,,,,
Prunus africana,TRSH,pollen,NISP,,,2,,,1,,1,,,,,,,,,1,,1,,,,,1,,1,,1,,,,,1,,,2,,1,,,,,,,,,,
Ranunculus,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,1,3,2,1,5,2,2,3,2,2,,,3,1,2,4,,,,3,,1,,
Rapanea melanophloeos,TRSH,pollen,NISP,,,1,2,1,1,,1,1,,1,2,2,1,7,2,1,5,3,6,1,1,1,1,1,2,1,2,4,1,1,3,2,4,6,1,4,4,2,1,,1,,4,,1,,
Restionaceae,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,6,20,8,4,5,4,3,12,20,49,92,68,70,37,60,21,28,6,,,,,,
Rubia-type,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,1,,,,,,,
Rubiaceae,TRSH,pollen,NISP,,3,1,7,2,,6,1,4,7,,6,,3,,,2,,,,,1,,,,,,,,,,,,,,,,,,,2,,3,1,5,5,4,1
Rubus pinnatus-type,TRSH,pollen,NISP,,,,,,,,1,,1,3,1,5,,2,,2,,,,,,1,,,3,,1,,,,,,,,,,,,,,,,,,,,
Rumex,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,
Sapotaceae,TRSH,pollen,NISP,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Schefflera abyssinica-type,TRSH,pollen,NISP,,,,,,,,,,,,,,,,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Schefflera myriantha-type,TRSH,pollen,NISP,,14,13,26,10,11,5,8,3,3,2,5,1,2,2,1,2,,,,2,1,,,,,1,,,,,,,,,,,3,,,,,1,5,,3,1,
Sericostachys-type (S. scandens),UPHE,pollen,NISP,,1,,1,,,,,,3,,,,,,2,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Seriphium kilimandscharicum-type,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,1,,,,1,,,,,,,,
Silene-type (S. burchellii),UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,
Solanecio-type (S. mannii),UPHE,pollen,NISP,,,,,,,,,,,3,,,,,,,,4,1,,,,,,1,,1,,,,,,,3,,,,,,,,,,,,,
Solanum,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Sphagnum,AQBR,spore,NISP,,98,582,162,107,53,214,56,19,24,26,33,47,28,17,34,51,20,8,6,8,10,8,5,2,7,9,7,10,,2,21,14,39,141,49,7,16,1,2,8,7,2,,,3,1,1
Stephania-type (S. abyssinica),UPHE,pollen,NISP,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swertia usambarensis-type,UPHE,pollen,NISP,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,
Swertia-type (S. kilimandscharica),UPHE,pollen,NISP,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,2,,,,,,,,,,2,2,1,,,,,,,,
Syzygium,TRSH,pollen,NISP,,21,16,26,25,12,10,13,3,2,4,3,3,4,4,3,2,2,,2,3,1,1,1,,2,2,,2,,,,,,,,1,5,,1,,,10,6,7,9,2,
Teclea-type,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tetrorchidium,TRSH,pollen,NISP,,,,2,1,,,1,,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thalictrum,UPHE,pollen,NISP,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thymelaeaceae,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,
Tilioideae,TRSH,pollen,NISP,,,1,1,,,,,,,,2,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toddalia-type (T. asiatica),TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,
Trema-type (T. orientalis),TRSH,pollen,NISP,,,,,,,,1,,1,,1,,1,,,2,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Triletes,PTER,spore,NISP,,1,,2,3,1,10,29,35,52,65,50,55,48,35,39,36,32,28,28,31,19,35,8,5,8,4,5,2,4,,,,1,,,,2,,4,9,3,1,33,8,8,4,18
Typha,AQVP,pollen,NISP,,,,,,,1,,,,,,,,,,,,,,,,,1,1,,1,,,,,,,,,,1,,1,,4,,1,,,,,11
Uapaca,TRSH,pollen,NISP,,1,,1,1,,1,,1,,,,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
Unknown,UNID,pollen/spore,NISP,,23,10,25,39,8,15,15,2,2,6,9,8,15,11,5,6,15,5,7,2,6,4,3,9,6,1,5,4,7,3,6,5,18,21,33,4,19,6,12,6,10,8,12,5,30,19,19
Urticaceae,UPHE,pollen,NISP,,4,8,7,8,4,,8,3,5,,5,3,8,1,11,4,6,,2,7,2,5,9,4,3,3,6,3,7,,1,,1,,1,,,,,3,1,,,,,,1
Vernonieae,UPHE,pollen,NISP,,,2,1,1,,2,1,1,3,2,1,,1,3,2,2,,,1,1,,1,,,,,,,1,,,,,,,,4,,,,,,2,14,2,2,3
Xyris,UPHE,pollen,NISP,,5,10,6,10,8,8,3,7,8,9,6,6,5,15,6,5,5,1,6,3,2,4,6,3,1,1,2,2,3,,,,,,,,,,,1,6,15,8,1,2,,
Zanthoxylum-type (Z. usambarense),TRSH,pollen,NISP,,1,1,,,,,2,1,,,1,1,,,,1,2,2,,1,2,,,,,,1,,,,1,,,,,,,,,,,,,,,,