Sample ID;APD 1;Acacia;Acalypha;Acanthaceae;Aeschynomene-type (A. baumii);Alchemilla;Alchornea;Allophylus;Aloe-type;Amaranthaceae;Ammannia-type (A. prieuriana);Anthocleista;Anthospermum;Apiaceae;Apodytes dimidiata;Araliaceae;Artemisia;Asteroideae;Basella alba-type;Begonia;Brachystegia;Brassicaceae;Brucea antidysenterica;Canthium gueinzii-type;Canthium schimperianum;Carduus-type;Caryophyllaceae;Cassia-type (C. mimosoides);Celtis;Cerastium afromontanum-type;Cerastium-type (C. octandrum);Clematis-type;Cliffortia nitidula;Clutia;Combretaceae;Commelina-type (C. benghalensis);Commiphora;Coptosperma-type (C. graveolens);Cornus volkensii;Crassocephalum-type (C. montuosum);Croton-type;Cucurbitaceae;Dichondra-type (D. micrantha);Diospyros;Dipsacoideae;Dodonaea viscosa;Dombeya-type;Ekebergia-type;Embelia;Ericaceae;Eriocaulaceae;Erythrococca-type;Euclea;Euphorbia-type;Faboideae;Ficus;Flabellaria-type (F. paniculata);Galiniera coffeoides;Garcinia volkensii-type;Gentianaceae;Geranium;Hagenia abyssinica;Harungana;Heliotropium steudneri-type;Hymenodictyon-type (H. floribundum);Hypericum;Ilex mitis;Impatiens;Ipomoea-type;Isoglossa;Jasminum;Juniperus procera;Kotschya-type;Lamiaceae;Lannea-type;Laurembergia tetrandra;Lobelia;Loranthaceae;Lythrum;Macaranga;Maerua-type;Maesa lanceolata-type;Margaritaria-type (M. discoidea);Melastomataceae;Mimulopsis-type;Mitragyna-type (M. rubrostipulata);Monocotyledoneae undiff.;Moraceae;Myrica;Myrsine africana;Nuxia/Ficalhoa;Oldenlandia-type;Olea capensis;Olea europaea;Onagraceae;Parinari-type;Persicaria-type;Phoenix reclinata;Phyllanthus-type;Pilea-type (P. bambuseti);Plantago africana-type;Plectranthus-type (P. otostegioides);Poaceae;Podocarpus;Polygala-type;Polyscias fulva-type;Primulaceae;Protea-type;Prunus africana;Ranunculus;Rapanea melanophloeos;Resedaceae;Restio;Rhamnaceae;Ricinus communis;Rubia-type;Rubiaceae;Rubus pinnatus-type;Rumex;Salix subserrata;Sapotaceae;Schefflera-type;Seriphium kilimandscharicum-type;Silene-type (S. burchellii);Solanum;Stellaria mannii-type;Stephania-type (S. abyssinica);Sterculia-type;Swertia-type;Syzygium-type;Teclea-type;Tetrorchidium;Thymelaeaceae;Tilioideae;Trema-type (T. orientalis);Uapaca;Uebelinia-type (U. abyssinica);Urticaceae;Vangueria-type (V. madagascariensis var. madagascariensis);Virectaria;Xyris;Zanthoxylum-type
437858;-26;;6;;;;;;;;;;;6;2;;;13;;;;;;;;;;;;;;2;;;;;;;;;;;;;;1;;;;3;;;;;;;;;;;;2;;;;;;;;;;;;;;4;1;;;2;;;;;;;;;;;;;1;;;;;;;;;;86;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;;;8;
437859;-8;;6;;;;;1;1;;;;;12;;;;27;;;;;;;;;;;1;;;1;;;1;;;;;;;;;;;2;;;;3;;;;;;;;;;;;2;;;;1;;1;;;;;;;;1;2;;;12;;;;;;;;1;;;3;;2;;;;;;;1;;;100;2;;;;;2;;1;;;;;;;;;;;1;;;;;;;2;4;;;;1;;;;5;;;6;1
437860;6;;7;1;;2;1;;;2;;1;;8;1;;;19;;;;;;1;;;;;2;;;;;;1;;;;;;;;;;;3;;;;1;;;;1;;;;;;;;3;;;;3;;;;;;;;;;1;1;;;12;;;;;;;;;;;1;;;;;;;;1;2;;;98;2;;;;;;;;;;;;;2;;1;;;;;;;;;;;3;;;;;;;;15;;;;
437861;26;;3;;;2;4;;;1;;;;7;1;;;15;;;;;1;;;1;;;;;;1;;;;;;;;;;;;;;1;;1;;1;;;;;;;;;;;;2;;;;1;;;;;;;;1;1;2;1;;;14;;;;;;;;;;;1;;5;;;;;;1;;;;78;1;;1;;;;;2;;;;1;;;;;;;1;;;;;;;;6;;;;1;;;;1;;;5;
437862;237;;10;;;8;1;;;1;;;;10;1;;;25;;;;;;;1;1;1;;;;;;1;;;;;;;;1;1;;;;;;;;3;;;1;;;;1;;;;;3;;;1;4;;2;;;1;;;;;3;1;;;11;;;;;;;;1;;;2;;2;1;;;;;4;;;;47;6;;;2;;;;1;;;;;;;;1;;;;;;;;;;;4;;;;;;;;5;;;5;
437863;483;;3;;;4;;;;1;;;1;16;1;;;35;;;;;;;;;;;1;;;1;;;;;;;;;1;;;;;1;;;;5;;;;1;;;;;;;;4;;;;;;;;;;1;;;;3;4;;;10;;;;;;;;;;;4;;2;2;;;;;8;;;;38;5;;1;;;;;1;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;2;
437864;728;;2;;;6;2;;;;;;;9;3;;2;28;;;;;;;;2;;;;;;;;;;;;;;3;;;;;;3;;;;13;;;;;;;;;;;;1;;;;;;;;;;;1;;;11;;;;3;;;;;;;;;4;;4;;6;;;3;1;;7;;;;66;5;;;;;;;1;;;2;1;;1;;;;1;7;;1;;;;;;10;;1;;;;;1;1;;;;1
437865;943;;3;;;4;2;;;;;;;6;;;;24;;;;;;;;;;;;;;1;;;;;;;;;;1;;;;;;;;3;;;;;;;;;;;;10;;;;8;;2;;;;;;1;;1;3;;;14;;;;;;;;;;;;;2;1;;;1;;12;;;;36;10;;;;;;;1;;;;;1;;;2;;;;;;;;;;;6;;;;;;;;11;;;;
437866;1124;;3;;;6;;;;;;;;5;;;;20;;;;;;;;3;;;6;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;2;;;;;;;;2;;;2;7;;;;;;1;;;1;;7;;3;;;;1;;9;1;;;50;9;;1;;;1;;;;;;;1;3;;;;;;;1;;;;;;11;;;;;;;;3;;1;;
437867;1305;;2;;;3;;;;;;;;9;;;;17;;;;;;;;2;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;1;;;;;;;;;;;;;1;;;10;;;;;;;;;;;3;;2;;;;1;;7;2;;;58;10;;;;;;;;;;1;1;;1;;;;;;;;;;;;;4;;;;1;;;;8;;;;
437868;1484;;2;;;1;;;;;;;;4;3;;;18;;;1;;;1;;2;;;;;;1;;;;;;;;;;1;;;;1;;;;1;;;;;;;;;;;;15;;;;2;;3;;;;;;2;;1;;;1;6;;;;;;;;1;;;6;;1;1;1;1;;;7;;;;34;12;;;;;;;2;;;;;;;;;;;1;;;;;1;;;5;;;;;1;;;7;;;1;
437869;1666;;;;;4;4;;;;;;;10;8;;;17;;;1;1;;;;2;;;;;;;;;;;;1;;4;;;;;;1;;1;;2;;;;;1;1;;;;;;19;;;;1;2;3;;;;;;1;;;;;;21;;;1;;;;;;3;;5;;12;;;5;1;;11;;;;75;20;;;;;2;;2;;;;;1;1;;;;;3;1;;;;;;;8;;;;;;;;8;;;3;
437870;1847;;;1;;5;1;;;;;;;9;4;;;13;;;;;;;2;3;;;;;;2;;;;;;;;;;;;;;;;1;;4;;;;;;1;;;;;;9;;;;1;;1;;;;;1;;;1;1;;;8;;;;;1;;;;;;2;;5;1;;;;;8;;;;39;16;;;;;;;1;;;;;;;;;;;1;;;;;;;1;9;;;;;;;;1;;;;
437871;2028;;;;;2;1;;;1;;;;9;1;;;17;;;;;;2;;4;;;2;;;;;;;1;;;;;;;;;;;;;;1;;;;;;;;;;;;3;;;;5;;3;;;;;;1;;;1;;1;9;;;;;;;;;;;2;;3;;;;;;8;;;;45;5;;;;;;;;;;;;;1;;;;;2;;;;;;;1;8;;;;;;;;;;;1;
437872;2280;;2;;;6;;;;;;;;15;;;;33;;;;;;1;;3;;;2;;;1;;;;;;;;;3;;;;;;;1;;1;;;1;;;;;;;;;3;;;;2;1;1;;;;;;;;;1;;1;12;;;;;;;;;;;3;;1;1;;;1;;11;;;;80;15;;1;;;;;;;;;;;;;2;;1;1;;;;;;;;10;;;;1;;;;;;;2;
437873;2536;;4;;;3;;;;;;;;10;2;;;27;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;3;;;;;;;;;;;;1;;;;2;;3;;;;;;;;;2;;;18;;;;;1;;;;;;5;;8;;;;;;14;;;;77;12;;;;;;1;2;;;;;1;1;;;;;1;;;;;;;;8;;;;;;;;2;;;;
437874;2751;;1;;;3;;;;1;;;;7;2;;;22;;;;;;;1;3;;;;;;;;;;;;;;;1;;;;;1;;;;2;;;;;1;;;;;;;2;;;;3;;4;;;;;;;;;1;;1;17;;;;;;;;1;;;4;;;;;;1;;13;;;;65;11;;;;1;;;;;;;;;4;;;;;5;;;;;;;;10;;;;;;;;;;;1;
437875;2967;;2;;;8;;;;1;;;;8;3;;;25;;;;;;;;4;;;4;;;;;;;;;;;1;;;;;;;;;;1;;;;;2;;;;;;;1;;;;;;4;1;;;;;;;;2;;3;10;;;;;;;1;;;;9;;5;;;;;;7;1;;;75;12;;;1;;;;;;;;;;2;;;;1;1;;;;;;;;9;;;;;;;;3;;;1;
437876;3111;;;;;1;;;;;;;;2;3;;;18;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;7;;2;;;;;;1;;;;;3;5;;;;;;;;;;;4;;6;;;;;;4;;;;40;10;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;4;;;;
437877;3328;;1;;;5;1;;;;;;1;1;1;;;19;;;;;;;;3;;;1;;;;;;;;;;;1;;;;;;;;;;1;;;;;;1;;;;;;1;;;;2;;2;;;;;;;;1;;;2;7;;;;;1;1;;;1;;3;;4;;;;1;;11;1;;;43;17;;;;;;;1;1;;;;;;;;;;5;;;;;;;;13;;;;;;;;1;;2;;
437878;3473;;;;;9;;;;;;;;7;4;;;26;;;;;;1;;3;;;;;;1;;;;;;1;;;;;;;;6;;;;1;;;;;;;;;;;;3;;;;3;3;5;;;;;;1;;2;;;4;6;;;;;;;1;;2;;6;;6;;;;;;5;1;;;69;21;;;;;;;;;;;;;1;;3;;;3;;;;;3;;3;12;;;;;;;;5;;;;
437879;3692;;4;;;10;4;;;1;;;;2;7;;;30;;;;;;1;;;;;;;;;;;2;;;;;;;;;;;;;;;1;;;;;3;;;;;;;7;;;;;1;;;;1;;1;;;1;;1;8;5;;;;1;1;1;;;;;2;;7;;;;;;6;;;;45;23;;;;;1;;;1;;1;;;1;;;;;15;;;;;;;;9;;;;;;;;3;;;3;
437880;3842;;9;;;23;3;;;1;;;;2;7;;4;34;;;;;;1;2;1;;;4;;;;;;3;;;1;;3;;;;;;1;;1;;;;;;;;;;3;;;;2;;;;;3;3;;1;;;;1;;1;;;10;13;;;;;1;1;;;2;;22;;6;;;1;;;8;;;;89;35;;;;;1;2;1;;;;;;;;1;;;19;;;;;2;;;13;1;;;;;;;2;;;;1
437881;4101;;;1;;7;1;;;1;;;;7;3;;;13;;;;;;1;;;;;3;;;3;;;;;;;;;;;;;;1;;;;4;;;;2;;;;;;;;3;;;;3;1;;;1;;;;;;;;;5;2;;;;;;1;;;;;14;;5;;;;;;4;2;;;32;20;;6;;;;;;;;;;1;1;;;;;3;;;;;;;;13;;;;;;;1;1;;;;
437882;4384;;3;;;3;2;;;;;;;2;6;;;20;;;;;;2;;;;;4;;;1;;;1;;;;;;;;;;;2;;;;3;;;;;2;;;;1;;;;1;;;3;;2;;;;;1;;;1;;;5;4;;;;;1;;;;;;11;;4;;;;;;1;;;;46;14;;;;;;;;;;;;;;;;;;9;;;;;1;;;15;;;;;;;;3;;;;
437883;4422;;2;;;7;2;;;;;;;;2;;1;20;;;;;;1;2;;;;1;;;1;;;1;;;2;;3;;;;;;;;1;;;;;;;1;;;;;;;3;;;;;2;;;;;;;;;;;1;4;5;;;;;1;;;;;;8;2;8;;;;1;;2;;;;61;14;;;;;;1;;;;1;;;2;;;;;12;;;;;1;;;8;;1;;;;;;;;1;;
437884;4477;;3;1;;14;6;;;3;;;;8;;;;21;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1;;;;;;;;;1;1;;;;;;;;;2;;;1;6;;;;;;;;;;;9;;2;1;;;;;3;1;;;44;5;;2;;;1;;1;;;;;;1;;1;;;2;;;;;;;1;5;;1;;;;;;14;;;;
437885;4567;;2;1;;8;5;1;;1;;;;;5;;;21;;;;;;4;2;;;;2;;;;;;;;;;;;;;;;1;;;;;1;;;;;2;;;;;;;1;;;;6;2;2;;;;;;;1;;;;1;10;;;;;1;;;2;;;39;;5;;;;;;1;1;;;32;22;;;;;;;1;;;;;;2;;;;;6;;;;;;;;23;;1;;1;;;;8;;1;;
437886;4645;;;;;1;3;;;1;;;;;;;;9;;;;;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;1;;;;;;1;;1;1;;1;3;;;;;;;;;;;14;;2;;;;;;;;;;30;13;;3;;;;;;;;;;;;;;;;;;;;;;;;16;;;;;;;;3;;;;
437887;4737;;3;;;6;8;;;1;;;;3;6;;;8;;;;;;1;;;;;5;;;;;;;;;;;2;;;;;;;;;;2;;;1;;;;;;;;;1;;;;;1;;;;;;1;1;;;;;1;6;;;;;1;1;;1;;;11;;9;2;;;1;;;1;;;48;26;;;;;;;;;;;;;4;;;;;20;;;;;;;;7;;;;;;;;1;;;;1
437888;4798;;3;;;7;2;2;;1;;;;8;;;;34;;1;;1;;;5;1;;;11;;;;;;;;;;;;;;;;;2;;;;4;1;;2;;;;;;;;;2;;;;2;1;5;;1;;1;;1;;5;;1;14;2;;;;;;1;1;;1;;3;;2;;;;3;;1;;;;101;11;;1;;;1;;;;;;;;1;;2;;;7;;;;;;1;3;11;1;;;;;;;1;;;;1
437889;4952;;2;;;14;8;;;2;;;;2;2;;;7;;;;;;2;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;3;;;;;;;;1;;;;;;2;;;;6;;;;;;2;;;;;17;;3;;;;1;;1;1;;;35;12;;;;;;;1;;;;;;;;;;;6;;;;;;;;25;;1;;1;;;;1;;1;;
437890;5062;;4;1;;3;2;;;;;;;4;1;;;14;;;;;;5;;;;;4;;;;;;;;;;1;;;;;;;1;;;;;;;;;;;;;;;;2;;;;3;;;;;;;;;;;1;;1;4;;;;;;;;;;;12;;5;2;;;;;;;;;31;15;;5;;;;;;;;;;;;;;;;2;;;;;;;;6;;;;2;;;;3;;;;
437891;5262;;;;;5;5;;;;;;;2;6;;;11;;;;;;;1;;;;1;;;;;;1;;;;;;1;;;;;2;;;;2;;;;;3;;;;;;;;;;;1;;3;;1;;;;;;1;;;3;9;;;;;;;;1;;;19;;5;;;;;;;1;;;32;14;;;;;;;;1;;;;;2;;1;;1;11;;;;;;;;21;;;;1;;1;;3;;;;1
437892;5416;;2;2;;2;4;;;;;;;3;2;;;5;;;;;;1;;;;;;;;;;;;;;;;;2;;;;;;;;;3;;;;;2;;;1;;;;;;;;;;;;;;;;;;;;;5;1;;;;;;;;;;;10;;6;;;;;;2;1;;;29;14;;;;;;;;;;;;;;;;;;5;;;;;;;;8;;;;;;;;5;;;;
437893;5572;;4;1;;7;7;;;;;;;3;;;;16;;1;;;;;1;;;2;3;;;;;;;;;1;;1;;;;;;;;;;6;;;;;;;;1;;;;4;;;;;2;2;;1;;;1;;;;;2;2;7;;;1;;;;;1;;;12;;5;;;;;;3;;;;42;21;;;;;;;;;;;;;1;;;;;14;;;;;;;;11;;;;;;;;;;;;
437894;5733;;7;;;5;6;;;;;;;2;2;;;16;;;;;;2;2;;;1;2;;;;;;2;;;;;;1;;;;;;;;;3;;;;;;;;;;;;2;;;;1;1;2;;;;;;;;;;;1;10;;;;1;1;;;;;;32;;5;;;;;;;3;;;35;22;;;;;;;1;;;1;;;3;;;;;18;;;;;;;;23;1;;;1;;;;5;;;1;1
437895;5844;;;;;3;8;;;;;;;2;3;;;8;;;;;;1;;;;;;;;1;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;4;1;;;1;;;;;;;;;2;6;;;;;;;;;;;8;;3;;;;;;1;1;;;23;17;;5;;;;;;;;;;;1;;;;;;;;;1;;;;15;;;;;;;;;;;;
437896;6048;;2;1;;5;8;;;;1;;;6;;;;27;;;;;;1;1;;;;2;;;;;1;1;;;;;;;;;;;;;;;2;;;;;;1;;;;;;7;;;;1;1;;;2;;;;1;;;;;4;10;;;;;;;;;;;20;;2;1;;;1;;1;1;;;43;16;;7;;;;;3;;;;;;1;;1;;;2;;;;;;;;15;;;;;;;;6;;;;1
437897;6203;;;;;3;3;;;2;;;;1;3;;;13;;1;;;;;;;;;;;;1;1;;;;;;;;;1;;;;;;;;3;;;;;;;;;;;;5;;;;1;2;1;;1;;;1;1;;;;;1;10;;;;;;;;3;;;29;;5;;;;;;1;6;;;37;11;;;;;;1;;;;;;;4;;1;;;16;;;;;;;;21;;;;;;;;8;;;;
437898;6396;;;;;7;4;;;2;;;;1;;;;12;;;;;;1;;;;;1;;;2;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;8;;;;2;1;1;;;;;;;;;1;;;4;;;;;;1;;;;;9;;;;;;;;3;;;;30;20;;;;;;;;;;;;;;;;;;8;;;;;;;;20;;;;1;;;;2;;;;
437899;6515;;1;;;17;5;;;1;;;;4;3;;;23;1;;;;;1;;;;;1;;;;;;1;;;;;2;2;;;;;1;;;;1;;;;;4;;;;;;;2;;;1;2;4;1;;;;;;;;1;;;3;6;;;;;;;;;1;;19;;7;;;;1;;4;;;;57;16;;;;;;;2;;;;;;7;;;;;11;;;;;;;;16;;2;;;;;;3;1;1;;
437900;6620;;2;;;6;3;;;;;;;3;;;;18;;;;;;1;1;1;;;3;;;1;;;;;;;;;;1;;;;;;;;2;;;;;;;;;;;;3;;;;2;2;;;;;;;;;;1;;1;6;;1;;;;;;;;;9;;4;2;;;;;1;;;;34;11;;7;;;;;;;;;;;;;1;;;2;;;;;;;;10;;;;;;;;1;;;3;
437901;6826;;3;;;4;6;;;;;;;4;2;;;19;;;;1;;;;;;;4;;;1;;;1;;;;;;;;;;;;;;;2;;;;;2;;;;;;;11;;;;2;4;;;;;;;2;;1;;;2;10;;1;;;;;;;;;17;;4;;;;;;1;2;;;31;21;1;4;;;;;;;;;;;3;;;;;11;;;;;;;;27;;;;1;;;;7;1;;;
437902;6983;;;;;5;7;;;1;;;;6;;2;;12;;;;1;;;1;3;;;3;;;1;;;;;1;;;;;;;;;;;;;1;;;;;;;;;;;;2;;;;10;2;;;;;;;;;;;;1;10;;;;;;;;;;;3;;;;;;;;4;1;;;31;12;;;;;;;;;;;;;;;;;;1;;;;;;;;8;;;;;;;;2;;;;
437903;7133;;2;1;;4;7;;;;;;;5;;;;12;;;;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;1;;;;;;2;;;;;;;;;;;;;;5;;1;;;;;1;4;;;7;;;;;1;;;4;1;;;20;2;;1;;;;;1;;;;;;;;;;;;;;;;;;;22;;1;;;1;;;11;;;;
437904;7205;;3;;;15;9;;;;;;;13;;;;23;;;;;;;;3;;;;;;;;;1;;;;;;1;;;;;1;;;;4;;;;;;;;;;;;1;;;;;1;;;;;;;;;;;;;11;;;;;;;1;2;;;5;;7;;1;;;;3;1;;;22;9;;4;;;1;;;;;;;;1;;;;;1;;;;;;;;10;1;1;;1;;;;18;;;;
437905;7240;;;;;7;8;;;1;;;;5;;;;12;;;;;;;;1;;1;2;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;8;;1;;;;;;2;;;12;;3;;;;;;2;5;;;32;4;;4;;;1;;1;;;;;;;;;;;3;;;;;;;;10;;1;;;;;;11;;;;
437906;7303;;3;1;;14;9;;;;;;;10;;;;30;;;;;;1;;;;2;1;;;1;;;1;;;;;;;;;;;;;;;3;;;;;;;;;;3;;2;;;;1;;;;;;;1;;;;;;;8;;;;;;;1;1;;;9;;2;;1;;;;7;;;;19;3;;2;;;;;;;;;;;2;;;;;1;;;;;;;;6;;1;;;1;;;7;;;1;
437907;7345;;4;1;;6;2;;;;;;;;3;;;24;;;;1;;1;;;;;2;;;1;;;;;;;;;;;;1;;2;;1;;2;;;3;;1;;;;;;;2;;;;2;3;1;;2;;1;;;;;;;1;5;;;;;;;1;;2;1;21;;8;;;;;;2;4;;;44;27;;;;;;;;;;;;1;2;;;;;1;;;;;;;;12;;;;;;;;4;;;;
437908;7407;;1;;;23;17;;;1;;;;17;2;;;41;;;;;;;;;;;2;;;;;;3;;1;;;;;;;;;;;;;1;;;;;;;1;;;;;;;;;3;;;;;;;2;;;3;;;;11;;;;;;;3;1;;;8;;1;;;;;;4;1;;;27;12;;3;;;;;2;;;;;;;;;;;;;;;;;;;11;;;;;1;;;4;;;;
437909;7449;;3;;;16;10;;;1;;;;7;1;;;25;;;;;;;;1;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;1;;2;;;;1;;;;;;;;;;1;;;1;7;;;;;1;;;1;;;6;;3;;1;;;;3;;;;32;6;;4;;;1;;;;;;;;1;;;;;;;;;;;;;13;;1;;;;;;4;;;1;
437910;7511;;1;;;17;4;;;;;;;11;;;;34;;;;;;1;;2;;;4;;;1;1;;1;;;;;;;;;;;;;;;6;;;;;;;;;;;;1;;;;2;;;;1;;;;1;;;;;;9;;;;;;;2;2;1;;14;;5;;2;;;;5;;;;37;14;;1;;;;;;;;1;;;1;;;;;2;;;;;;;;15;;;;;;;;12;;;;1
437911;7553;;3;;;7;6;;;;;;;5;2;;1;27;;;;;;3;;;;;1;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;2;;;;;;;;;;;3;;1;;;;;;2;;;;53;8;;;;;;;;;;;;;;;;;;4;;;;;;;;4;;;;;;;;8;;;1;1
437912;7636;;3;;;14;9;;;1;;;1;11;1;;;40;;;;;;2;;;;;2;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;2;;;;;;1;;;;1;;;;1;;;;;;7;;;;;;;1;;;;11;;1;;1;;;;9;;;;36;11;;3;;;;;1;;;;;1;1;;;;;1;;;;;;;;7;;1;;;;;;9;;;;
437913;7678;;5;;;8;6;;;;;;;5;;;;30;;;;;;;;1;;;3;;;;;;2;;;;;;1;;;;;;;;;3;;;;;;;;;;1;;2;;;;3;;;;;;;;;;1;;;;9;;;;;;;;3;;;15;1;1;;;;;;1;2;;;26;5;;2;;;;;;;;;;;3;;;;;;;;;;;;;10;;1;;;;;;6;;;;
437914;7719;;;;;8;10;;;;;;1;1;1;;;18;;;;;;;;;;;1;;;1;3;;;;;;;;;;;;;;;;;6;;;;;;;;;;;;1;;;;;;1;;1;;;;;;4;;;;14;;;;;1;;2;;;;10;;2;;;;;;4;;;;30;20;;1;;;;;2;;;;;;4;;;;;1;;;;;;;;12;;;;;;;;2;;;1;
437915;7762;;;;;5;6;;;1;;;1;3;4;;;23;;;;;;;;;1;;1;;;;2;;;;;;;;;;;;;1;;;;10;;;;;;;;;;;;3;;;;2;;;;;;;;;;;;;1;13;;;;;;;;;1;;4;;1;;;;;;;;;;39;11;;;;;;1;1;;;;;;;;1;;;2;;;;;;;;7;1;;;;;;;;;;1;
437916;7846;;2;1;;9;7;;;1;;;1;2;1;;;26;;;;;;;;;;;2;;;1;2;;1;;;;;;2;;1;;;;;;;11;;;;;;;;;;;;3;;;;1;1;;;;;;;1;;2;;;;13;;;;;;;;3;1;;18;;5;;;;;;1;1;;;30;11;;2;;;;1;1;;;;;;2;;;;;4;;;;;;;;11;;;;;;;;6;;;4;
437917;7892;;1;;;7;12;1;;;;;;3;1;;;15;;;;;;1;;;;;1;;;;;1;1;;;;;;;;;;;;;;;8;;;;;;;;;;;;2;;;;4;3;1;;;;;;;1;3;;;;13;;;;;;;;;1;;13;;;;;;;;2;;;;30;9;;3;;;;;;;;;;;1;;;;1;5;;;;;;;;15;;;;;;;;6;;;;
437918;7947;;4;;;4;10;;;;;;;3;2;;;9;;1;;;;1;;;;;3;;;;3;;2;;;;;;2;1;;;;;;;;5;;;;;;;;;;1;;1;;;;1;2;;;;;;;;;10;;;1;12;;2;;;;;2;1;;;10;;7;;;;;;3;1;;;39;14;;2;;;;;;;;;;;1;;;;;5;;;;;;;;11;;1;;;;;;6;;;;
437919;8004;;;;;2;3;;;16;;;;3;1;;2;28;;;;;;4;;14;;1;;;;;;;;;;;;;;;;;;1;;;;4;;;;2;4;1;;;;;;2;;;;1;1;;;;;;;;;32;;;;10;;;;;;;4;;2;;3;;3;;;;;;1;1;;;50;5;;2;;;1;;;;;;;;;;1;;;;;;;;2;;1;12;;;;;;;;4;;;;
437920;8115;;1;;;5;13;;;15;;;;5;;;;71;;;;;;;;6;;;3;;2;;4;;1;;;;;;;;;;;1;;;;7;;;;1;;;;;;;;3;;;;1;;;;;;;;1;;11;;;;12;;;;;;;;2;;;2;;5;;;;;;1;;;;59;10;;1;;;;;1;;;;;;;;;;;;;;;;;;;5;;;;;;;;6;;;3;
