Sample ID;Year;Acacia;Acalypha;Achyranthes aspera-type;Aeschynomene baumii-type;Aidia micrantha-type;Alchemilla;Alchornea;Allophylus;Amaranthaceae;Anacardiaceae undiff.;Anagallis-type;Anthocleista;Anthospermum;Apiaceae undiff.;Apodytes dimidiata;Artemisia;Asteroideae;Begonia;Bersama abyssinica-type;Blighia unijugata-type;Brachystegia;Brassicaceae;Carduus;Caryophyllaceae undiff.;Cassia mimosoides-type;Celtis;Cerastium afromontanum-type;Cerastium octandrum-type;Chrysophyllum bangweolense-type;Clematis;Cliffortia nitidula-type;Clutia;Combretaceae;Cornus volkensii;Crassocephalum montuosum-type;Croton;Cucurbitaceae;Diospyros;Dodonaea viscosa-type;Ekebergia-type;Entada-type;Ericaceae;Eriocaulaceae;Euclea;Euphorbia;Fabaceae undiff.;Ficus;Fleroya rubrostipulata-type;Galiniera saxifraga-type;Garcinia volkensii-type;Geranium;Hagenia abyssinica;Harungana;Hymenocardia;Hymenodictyon floribundum-type;Hypericum;Hypoestes-type;Ilex mitis;Impatiens;Isoglossa;Justicia striata-type;Keetia gueinzii-type;Kotschya-type;Lamiaceae undiff.;Laportea aestuans-type;Laurembergia tetrandra;Lobelia;Loranthaceae;Lythrum;Macaranga-type;Maesa lanceolata-type;Margaritaria discoidea-type;Melastomataceae;Mimulopsis-type;Monocotyledoneae undiff.;Moraceae undiff.;Myrianthus holstii-type;Myrica;Nuxia/Ficalhoa;Oldenlandia-type;Olea capensis-type;Olea europaea-type;Parinari-type;Persicaria-type;Phoenix reclinata-type;Phyllanthus niruri-type;Phyllanthus rivae-type;Pilea bambuseti-type;Plantago africana-type;Poaceae;Podocarpus;Polyscias fulva-type;Protea-type;Prunus africana-type;Psydrax schimperiana-type;Ranunculus;Rapanea melanophloeos-type;Rhamnaceae;Ricinus communis;Rubia-type;Rubiaceae undiff.;Rubus pinnatus-type;Rumex;Schefflera abyssinica-type;Schefflera myriantha-type;Sebaea brachyphylla-type;Securinega virosa-type;Sericostachys scandens-type;Shirakiopsis elliptica-type;Silene burchellii-type;Smithia elliotii-type;Solanecio mannii-type;Solanum;Spermacoce-type;Stellaria mannii-type;Stephania abyssinica-type;Swertia usambarensis-type;Symphonia globulifera;Syzygium-type;Tetrorchidium;Thalictrum;Tilioideae;Trema orientalis-type;Uapaca undiff.;Uebelinia abyssinica-type;Urticaceae undiff.;Virectaria;Xyris;Zanthoxylum-type
45777;796;;15;1;;;;1;;;;;1;;4;1;1;10;1;;;;;;;2;;;;;1;;;;;;;;;1;;;1;;;;2;;;1;;;2;;2;;;;;;;;;5;;;59;;;;10;;;;;2;;;;;;2;;;;;;;1;;83;1;2;;;;;;;;;2;1;2;;1;;;;;;;;;;;;;;;;;;1;;;6;;1;1
45778;857;1;21;;;;1;;;;;;1;;6;1;;18;;;;1;;1;;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;77;;;;4;;;;;;;;;;;2;;;;;;;;;111;10;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;1;;;5;1;12;
45779;918;;4;;;;1;6;;2;;;;;21;2;1;42;;;;1;;;;2;1;;;;;;;2;;;;;;1;;;2;;;;;1;;1;;;;;;;;1;;;1;;;3;;;17;;;;15;;;;;;;1;;;;5;;2;;;;;;;111;7;2;;1;;;;;;;;;1;;1;;;;;;;;;;;;;;2;;;;;;;;;5;
45780;979;;13;1;1;;;5;;;;1;;;17;10;;38;4;;;;;1;;1;;;;;1;;;3;;;;;;;;;2;;;;;;;2;;;;;;;;;;;;;;2;;;32;1;;;32;2;;;;;;;;2;;8;;;;;;;5;;37;;3;;;;;1;;;;;;;;;;;1;;;;3;;;;;1;;8;;;;;;;3;1;14;
45781;1040;;8;;7;;;7;;1;;1;;;3;32;;24;;1;;;;;;1;;;;;;;;3;;;2;;;2;;;3;;2;;;;;3;;;;1;1;;;;;;;;;2;;1;155;;1;;12;;;;2;;1;;1;1;;34;;1;;;;;1;;73;5;2;;;;;;;;;2;;;;4;;;;;;;;;;;;;;8;;;1;2;;;9;1;5;3
45782;1101;;3;;2;;;11;;;;4;;;38;28;;21;;;;;;1;;2;;;;;;;;2;;;3;;;1;;1;3;;;1;;;;;;;5;;1;;;3;1;;;;2;12;1;2;10;;;;61;2;;3;5;1;;6;;;;10;;1;;;;1;;;42;5;5;;3;;;2;;;;1;;;;2;;;4;;;1;;;;;;;;8;;;;1;;;2;;19;
45783;1162;;11;;5;;;7;;;;1;;;33;5;;22;1;1;;;;1;;2;2;;;;;;;;;;3;;;1;;;;;1;;;;;;;;3;;;;;2;;;;;1;1;;;12;;2;;33;1;;;1;;1;1;;1;;9;;1;;1;;;2;;60;2;5;;3;;;1;;;;2;1;1;;2;;;1;;;;1;;;;;;;3;;;;;;;7;;33;1
45784;1223;;9;;7;;1;5;;;;5;;;10;44;;43;3;;;;;;;5;;;;1;;;;1;;1;2;;;;;;1;;;;;1;1;5;;;8;2;;;1;2;;;;;;10;;;14;;;;57;2;;;5;;11;6;;1;;20;;1;;;;;2;;45;3;3;;7;;;4;;;1;3;1;;;8;;;1;;;;2;1;;;1;;;10;;;;1;2;;15;;12;6
45785;1278;;9;1;14;;;4;1;;2;;;;34;32;;33;1;1;;;;;;4;;;;2;;;;1;;;2;;;1;;;2;;;;1;;;3;;;9;;;;;8;;;;;1;;;;5;;;;107;;;;2;;4;15;;;;22;;1;;;;;3;;47;1;16;;1;;;1;1;;;6;;;;6;;;1;;;;;;;;;;;8;;;;1;;;17;;16;5
45786;1345;;12;;2;;;3;;;3;2;;;17;22;;25;5;;;1;;1;;;1;;;;;;;;;;1;;;;;;1;;1;;1;;;;;;15;;;;;3;;1;;;;;2;;18;;;;39;;;;1;;1;5;;3;1;27;;1;1;;;;;;50;7;8;;5;;;4;3;;;3;;1;;4;;;2;;;;1;;;;;;1;11;;;;3;;;9;1;18;2
45787;1406;;11;;;;;13;;;1;2;;;12;17;1;16;1;1;;;;;;1;3;;;;;;;;;;1;;;1;;;2;;;;;;;2;;;2;;;;2;2;;1;;;;1;;;11;;;;36;;;;1;;1;11;;;;16;;2;;;;;2;;34;4;4;;5;1;;2;;;;4;;;;6;;;1;;;;;;;;;;;4;;;;;;;4;;9;2
45788;1467;;4;;2;;;6;;;3;3;2;;7;16;2;22;1;;;;;;;;3;;;;;;;;;;2;1;;3;;;2;;;;1;;;1;;;9;;;;1;;;;;;1;2;;;12;;;;43;1;;;;;2;;2;;;12;;1;;;;;;;35;6;8;;3;;;4;;;;1;1;;;2;;;3;1;;;;;;;1;;;6;1;;;;;;1;;10;2
45789;1528;;1;;2;;;8;;;;1;;1;27;14;1;21;;1;;;;;;;4;;;1;;;;;;2;3;;;1;1;;1;;;;1;;;1;;;2;;1;;1;;;;;;;1;;;3;;;;22;;;;4;;4;3;1;;;17;;3;;;;;1;;42;5;5;;1;;;4;;2;;;;1;;8;;;3;;;;;;;;;;;6;;;1;1;;;6;;15;2
45790;1589;;5;;;;;15;;;9;;4;1;31;10;;15;2;;3;;;;;1;7;;;;;;;4;;;2;;;;1;;;;1;;;1;;3;;;;;;;1;;;1;2;;1;;;;26;;;;31;;;18;;;2;5;;1;;14;2;;;;;3;;;43;5;6;;5;;;3;;;;1;;;;2;;;;;;;1;;;;;;;9;1;;;1;;;7;1;19;2
45791;1650;;9;;7;;;20;;;7;4;;;25;16;;19;;;;;;;;2;9;;;2;;;;2;;;1;;;;;2;1;;;;2;;;1;;;2;;1;;4;;;;;;;2;1;;20;;;;48;;;;1;;1;4;;2;;16;;1;;1;1;2;1;;44;8;1;;1;;;3;;;;3;;;;4;;;;;;;;;;;;;2;16;;;2;1;;;9;;17;2
45792;1726;;3;;4;;;7;1;;4;2;;;14;12;;26;1;;;;;;;;4;;;3;1;;;1;;1;1;;;;;;1;;;;;1;;;;;2;;;;1;;;1;;;1;1;;;26;;;;61;;1;;;;2;2;1;;;12;;4;;;;;;;34;6;2;;4;;;;;;;2;;;;;;;2;;1;1;3;;;;;;;8;;;;;;;3;;3;
45793;1802;;11;1;6;;;8;;;;;;;6;10;1;17;2;;;;;;;1;5;;;;1;;;1;;;2;;;;;;;;1;;;;;;;;1;;;;2;1;1;1;;;;;;;14;;;;37;;;;1;;3;;;;;13;;2;;;;;4;;30;8;13;;;;;2;;;;2;;;;3;;;;;;;;;;;;;;11;;;;;;;11;;10;1
45794;1878;;4;;4;;1;3;;;;3;;;7;11;;20;;;1;;;;;3;9;;;;;;;7;;;1;;;;;1;2;;;3;;1;;;2;;1;;;;5;;;2;;1;;2;;;14;;;;34;;;1;;;;1;;3;1;15;;;;;2;5;;;19;10;4;;3;;;3;;;;2;;;;;;;;;;1;;2;;;;1;;16;;;;;;;3;;10;
45795;1954;;4;;6;;;6;;;1;3;;;7;12;;36;1;1;;;;;;1;6;1;;;1;;;2;;;1;;;2;3;;2;;2;2;1;1;;;;;1;;;;4;;1;4;;;;1;;;13;;;;33;;1;;;;1;;2;3;;12;;;;;1;9;;;36;11;3;;1;;;;;;;;;;;;;;;;6;;2;;;;;2;;14;;;;1;;;8;;6;4
45796;2030;;3;;3;;;3;;;;3;1;;5;8;;34;;1;;;;;;;6;;;;2;;;2;;;1;;;2;3;;;;;;;;;;;;;;;;4;2;;6;;;;2;;1;16;;;;28;2;;;1;;4;;;1;;12;;1;;;;16;;;32;6;3;;2;;;2;1;;;;;;;3;;;1;;1;;;;;;;1;;7;;;;;;;3;1;2;3
45797;2106;;6;;4;;;7;1;1;1;;;;2;9;;22;;1;;;;;;5;7;;;;;;1;1;;;2;;;2;;;1;;;1;2;;;;;;;;;;3;;;2;1;1;;;;;18;;;;34;;2;;;;;;;3;;15;;1;;;;11;1;;22;;3;;1;;;2;;;;2;;;;2;;;;;2;;;;;;;2;;19;;;;;;;8;;3;3
45798;2182;;2;;7;;;7;;;;1;2;;;6;;23;;;;;;;;;3;;;;1;;;;;1;3;1;1;1;2;;1;;;;;1;;;;;;;;;;4;;3;;;1;1;;;8;1;;;18;;;1;;;;;2;;;11;1;3;;;1;19;;;35;8;3;;1;;;;;;1;;;;;;;;;1;2;;;;;;;;;7;;;;;;;3;;3;
45799;2258;;4;;6;;1;6;2;;;;3;;2;10;;27;1;;;;;;;3;2;;;;;;1;2;;1;1;;;1;;;1;;;;;;;1;;;2;;;;1;2;;3;1;1;;;;;13;;;;42;;;;;;3;;;;;12;;4;;;;20;1;;44;1;5;;1;;;1;;;;;;;;4;;;3;;;;;;;;;;;16;;;2;;;;;;3;4
45800;2334;;8;;7;;4;9;;;;5;1;;;17;;24;;;;;;;;1;3;;;1;;;;;;;2;;;1;1;;2;;;;;;;;;;2;;;;3;1;2;3;;;;3;;;20;;;;47;;;;2;1;;1;;4;;13;;2;;;1;14;;;43;3;6;;;;;;;;;;;1;2;8;;;2;;3;;;;;;;1;;13;;;2;;;;2;1;8;1
45801;2410;;6;;3;;;9;1;1;;2;;;2;13;;23;2;;;;;;;;6;;;1;;;;;;;;;;;1;1;;;;;;;;;;;2;;;;2;1;;3;;2;;1;;;16;;;;45;;;;;;1;2;;5;;6;;;1;;1;11;;;36;1;;;1;;;1;;;;2;;;;9;;;;;;;;;;;;;1;25;;;1;;;;7;;7;3
45802;2560;;1;;5;;3;8;;;;1;;;4;9;;22;;;;;;;;;7;;;;1;;;;;2;;;;1;;;1;;1;1;1;;;;;;1;;;;2;4;;2;;1;;;;;21;3;;;31;;;;1;;;;;6;;8;;3;;;1;16;;;34;8;6;;;;1;2;;;;3;;1;;1;;;;1;;;;;;;;;;7;;;2;;;;1;;8;
45803;2710;;8;;;;1;10;;;;1;;;1;14;;20;;;;;;;;2;4;;;;;;;2;;;2;;;1;;2;1;;;;;;;;;;;;;;;;;1;;;;;;;21;;;;41;;;;1;;1;2;;3;;3;;;;;1;12;;;35;3;2;1;;;;1;;;;1;1;;;4;;;2;;;;;;;;;;1;23;;;;;;;7;;4;4
45804;2860;;2;;6;;;14;1;;;2;3;;;10;;27;;;;;;;;;3;;;1;1;;;;;;;;;1;;1;;;;;;;;;;;1;;;;5;;;8;;1;3;3;;;32;;;;42;;;;2;;2;;;6;;7;;5;3;;;16;;;44;6;3;;;;;6;;;;1;;;;6;;;1;;;;;;;;;1;;16;1;;;;;;3;;10;2
45805;3010;;2;;3;;4;37;;;;2;2;;2;15;;33;;;;;;;;2;8;;;;1;;;;;1;;;;1;1;1;2;;;;;;;;;;1;;;;6;;;7;;;;1;1;;11;;;;60;;;;3;;1;;;3;1;25;;3;2;;;5;;;48;3;7;;1;1;;3;;;;5;;1;;5;;;1;;2;;;;;;;;2;40;;;;;1;;2;;2;4
45806;3160;;3;;2;;9;25;;;;4;1;2;1;23;;30;;;;;;;;2;8;;;;;;;;;2;1;;;2;;;1;;;1;;;;;;;;;;;8;;;7;1;;1;4;1;;6;2;;;38;;;1;2;;4;;;11;;28;;1;;;1;7;;;43;2;2;;;;;5;;;;;1;;;9;;;1;1;1;;;;;;;;;20;;;5;2;;;3;;3;3
45807;3310;;6;;9;;1;24;;;2;2;;;6;15;;24;2;;;;;;;1;5;;;;1;;;4;;;;;;4;2;;;;;;1;;;;;;4;;1;;3;2;1;2;;;2;1;;;9;;;;27;;;;;;5;2;;13;;22;2;;;;;4;;;29;7;1;;;;;2;;;;5;;;1;5;;;2;;2;;;;;;;;;54;2;;;1;1;;11;;;2
45808;3460;;5;;9;;;12;;;;3;;;5;14;;35;1;;;;;;;;7;;;2;;;;1;;;;;;1;3;;1;;;;;;;;1;;6;;;;1;;;1;1;;;11;;;13;;;;33;;;;;;3;1;;11;;19;;;1;;;9;;;30;8;3;;5;;;4;;;;1;1;;;5;;;2;;2;;;;;;;;;37;;;4;;1;;8;;7;3
45809;3610;;5;;14;;;18;1;;;1;1;;11;19;;37;;;;;;;;3;3;;;;;;;1;;;;;;3;;;;;;;2;2;;1;;;5;;;;2;;1;4;;;1;3;1;;21;;;;45;;1;5;1;;2;;1;12;;18;;4;;;1;7;;;33;3;3;1;5;;;2;;;;3;1;;;5;;;;;3;;4;;;;;;;37;2;;;;1;;8;;17;5
45810;3760;;5;;13;;1;27;;;;5;1;;9;13;;26;;;;;;;;;4;;;1;1;;;4;;;3;1;1;4;3;;2;;;;;2;;;;;1;;;;;1;1;;;;1;4;;;26;;;;50;;1;4;2;;4;5;;24;;25;;2;;;2;5;;;15;2;3;;1;;;6;;;;6;1;;;8;;;;;;;;;;;;;;31;;;;2;1;;3;;22;3
45811;3910;;;;6;;;19;;;1;2;;;5;10;;29;;1;;;1;;;;5;;;;;;;;;1;5;2;;2;;;2;;;;1;;;;;;3;;;;4;1;1;1;1;;;2;;;14;;;;31;;;7;1;;3;;;11;;7;;2;;;;4;1;;15;2;7;;1;;;2;;;;1;;;;9;1;;;;;;;;;;;;2;21;;;;;;;1;;2;5
45812;4053;;2;;4;;;20;;;;2;;;;5;;28;2;;;;;;;;1;;;;;;;3;;;;;;;;;3;;;;;2;;;;;5;;;;1;1;;;;;;2;;;10;1;;;63;;;6;;;;;;18;;16;1;;1;;;6;1;;22;3;3;1;;;;8;;;;1;1;;;5;;;1;1;;;;;;;;;;30;;;;;;;5;;;5
45813;4196;;3;;;;2;27;1;;;;4;;2;6;1;35;1;1;;;;;;;2;;;;;;;;;;;;;1;;;5;;;1;;;;;;;3;;;;2;;;2;;;1;;2;;21;;;;41;;;5;;;1;;;3;;15;1;;;;;1;;;15;3;8;;3;;;7;;;;8;1;;;13;;;2;2;;;;;;;;;;36;;;;1;;;;1;4;6
45814;4339;;;;;;;32;;;;;5;;5;5;;23;;;;;;;;;6;;;1;;;;;;1;;1;;2;;;3;;;;;1;;;;;2;1;;;;;;2;;;2;;;;14;;;;23;;;8;2;1;4;;1;5;;5;2;;1;;;2;1;;33;6;6;;1;;1;5;;;;6;;;;7;;;;;2;;;1;;;;;1;34;;;;;;;;;;4
45815;4482;;;;4;;;36;;;;3;5;1;6;4;;24;;;;;;;;;;;;1;;;;1;;;1;;;1;;1;4;;;;;;;;;;1;;;;3;;;;;;4;2;;;21;;;;44;2;;9;3;;2;;;5;;8;;;;;;2;;1;14;;9;;;1;;4;;;;9;1;;;16;;;1;2;1;;;;;;;;;30;;;1;;;2;;;2;2
45816;4625;;;;3;;;48;;;;;1;;2;4;;32;7;;;;;;;;2;;;;;;;;;;;;;;;;5;;;;;;;;;;;;2;;;;;3;;;3;1;1;;15;;;;29;;;4;;;3;1;;12;;11;;;1;;;2;;;22;1;;;;;;4;;;;2;;;;16;;;;;;;;;;;1;;;36;1;;;;;;5;;1;2
45817;4768;;2;;8;;1;25;;;;2;6;2;5;7;;27;2;;;;;;;1;;;;1;1;;;1;;1;;;;;1;1;8;;;;;;;;;;;;1;;3;;1;1;;;2;;;;26;3;;;27;;;6;;;;;1;12;;9;;1;2;;1;1;;;33;2;4;1;;;;2;;;;8;;;;8;;;;2;1;;;;;;;;;35;;;1;2;1;;2;;4;1
45818;4911;;;;9;;;29;;;;;7;;9;4;1;39;2;1;;;;;;1;1;;;1;1;;;6;;3;;;;1;1;1;5;;;;1;1;;1;;;2;;;;;;;;;;2;2;1;;24;;1;;18;;;7;;;6;3;;12;;9;;4;;;;5;;;74;2;4;;3;;;5;;;;6;;;;5;;;1;;3;;;;;;;;;31;;;;;1;;3;;5;1
45819;5054;;2;;11;;;18;;;;;4;;6;5;;27;1;;;;;;;1;2;;;;1;;;3;;1;;;;;1;;2;;;1;1;;;;;;5;;;;2;;;;;;;;;;29;;1;;11;;;10;;;;2;3;3;;7;;;;;;;;;49;1;5;1;;;;;2;;;4;;;;3;;;;;;;;;1;;;;;24;1;;;;;;;;8;1
45820;5197;;5;;13;;;19;;;;;1;;7;7;;15;;;;;;;;1;3;;;;;;;1;;;1;1;;1;1;1;3;;;;;1;;;;;1;;;;;;;1;;;;;;;17;;;;12;1;;11;1;;2;;;12;;5;;;;;;3;;;43;1;2;;1;;;4;;;;2;;;;5;;;;;;;;;;;;;;18;2;;1;;1;;5;;5;2
45821;5340;;1;;6;;1;10;;;;;3;;15;4;;32;2;;;;;;;;2;;;;;;;1;;;;;;;;;4;;1;;2;;;;;;;;;2;1;1;;1;;;1;2;;;26;;;;20;;;4;1;;;1;2;7;;5;;;;;2;1;;;33;2;3;;;1;;3;;;;5;;;;6;;;1;2;;;;;1;;;;;61;;;;1;;;;;4;
45822;5464;;;;9;;;27;;;;;;;33;2;;20;;;;;;;;;1;;;;1;;;1;;;;;;1;2;;;;;1;;;;;;;2;3;1;;;;;;;1;;1;;;8;;;;20;;1;1;;;5;1;;1;;11;;2;;;;;;;23;4;4;;;1;;1;;;;6;;;;4;;;;;;;;;;;;;;25;1;;;;;;10;;10;1
45823;5588;;6;;10;;;30;;;;;;;21;12;;23;;;;;;;;1;4;;;;;;;4;;1;;;;1;;;;;;;;;;4;;;1;1;;;;;;;;;;;;;11;;;;7;;;1;;;3;1;;;;8;;;;;;1;;;18;3;1;;;1;;1;;;;4;;;;15;;;;;;;;;;;;;;26;1;;1;;;;9;;19;1
45824;5712;;1;;14;;;26;;;;;;;7;12;;21;;;;;;;;;4;;;;1;;;;;;1;;;1;2;;;;;;;;;1;;;5;3;;;;;;1;;;1;2;;;6;;;;23;;;3;1;;4;1;;1;;5;;3;;;1;3;;;22;1;9;;;;;;;;;3;;;;7;;;1;;;;;;;;;1;;31;;;1;;;;1;;6;1
45825;5836;;2;;26;;;39;;;;;;;8;14;;30;1;;;;;;;3;7;;;1;1;;;2;;;2;;;2;1;;;;;;;;;5;;;1;2;1;1;;;;1;;;;9;;;11;;;;38;;1;4;1;;11;3;;5;;14;;;;;;1;1;;21;3;5;;;;;4;;;;1;;;;15;;;1;1;;;;;;;;;;31;;;;;1;;11;;10;2
45826;5960;;7;;4;;;32;;;;2;;;14;17;;31;;;;;;;;1;6;;;;2;;;;;;;;;;;;2;;;;;;;;;;;;1;;;;;;;;;1;;;17;;;;25;1;;1;;;11;1;;;;11;;;;;;;;;22;2;4;;;1;;2;;;;6;1;;;4;;;2;;;;;;;;;;;27;;;1;;;;14;;21;
45827;6084;;2;;13;;;43;;;;;1;;12;14;;13;;;;;;;;3;1;;;;;;;;;1;;;;;;;3;;;;1;;;1;;;4;;;;;;;;;;;4;2;;13;;;;27;;;;;;1;;;1;2;10;;;;;2;;;;11;4;2;;;;;;;;;4;;;;6;;;;;1;;;;;;;;;32;1;;1;;;;17;;16;1
45828;6208;;4;;1;;1;33;;;;2;1;;23;9;;15;;;;;;;;1;3;;;;1;;;1;;;1;;;;;;1;;;;;;;1;;;;2;1;;1;;;;;;2;;;;11;;;;31;;1;;1;;13;1;;;;9;;;;;;1;;;16;4;1;;;1;;;;;;2;;;;2;;;;;;;;;;;;;;30;;;;;;;8;;17;
45829;6332;;4;;4;;;44;;;;1;;;23;7;1;15;1;;;;;;;;1;;;;;;;;;1;1;;;1;1;;1;;;;;;;1;;;2;4;;;;;;1;;;;;1;;14;;;;23;;;;;;4;6;;2;1;11;;;;;;2;;;16;3;4;;1;;;1;;;;3;;;;15;;;1;;;;;;;;;;;48;2;;2;;2;;17;;15;
45830;6456;;2;;1;;;42;;;;2;;;18;6;;21;;2;;;;;;1;3;;;;;;;2;;;;;;;;;4;;;;;;;;;;2;;1;;2;;;;;;3;;;;24;1;1;;29;;1;;1;;3;;;;;14;;1;;;;2;1;;8;6;7;;;;;4;;;;4;;;;5;;;1;;;;;;;;;;;26;;;;;;;9;;8;1
45831;6580;;1;;1;;;29;;;;2;1;;16;4;;26;1;;;;;;;;3;;;;;;;;;;;;;;;;7;;;;;;;;;;1;1;;;2;;;4;1;;2;;;;20;;;;18;;;;4;;4;;;;;5;;;;;;2;;;17;5;4;;;;;10;;;;;;;;18;;;;;;;;;;;;;;19;1;;;1;;;3;;4;2
45832;6666;;1;;;;;38;1;;;4;;;12;2;;9;1;;;;;;;;8;;;;;;;1;;;;;;1;;;8;1;;;;;;;;;;;;;2;;;;;;1;1;;;13;;;;9;;1;;3;;6;4;;;;6;;1;;;;;2;;19;7;3;;;;;2;1;;;4;;;;22;;;;;;;;1;;;;;;21;;;;;;;3;;13;
45833;6752;;;;3;;1;35;1;;;;;;18;4;;19;2;;;;;;;;1;;;1;;;;2;;2;1;;;;;;6;;;;;;;;;;;1;;;;;;;;;1;1;4;;6;;;;29;;;;2;;3;1;;;;8;;1;;;;3;;;13;14;20;;;1;;10;;;;3;2;;;7;;;;;;;;;;;;;;45;;;;;1;;4;;5;2
45834;6838;;3;;;;1;21;;;;;;;44;;;25;2;;;;;;;;2;;;;;;;2;;;1;;2;;;;4;;;;;;;2;;;2;;;;;;;;1;;1;2;;;9;;;;19;;;;3;;;;;;;12;;;;;1;3;2;;10;10;5;1;3;;;13;;;;6;;;;36;;;2;;;;;;;;;;;38;1;;;;1;;2;;10;4
45835;6924;;3;;1;;1;53;;;;1;;;33;1;;19;2;;;;;;;;1;;;;;;;;;1;;;;1;;;2;;;;;;;1;;;3;;1;;;;;;;;2;;;;2;;;;37;;1;;1;;2;1;;;;;;;;;;2;;;15;2;;;;;;2;;;;8;;;2;20;;;;;;;;;;;;;;30;1;;;;;;1;;5;
45836;7010;;;;1;;;50;;;;;;;16;3;;18;2;;;;;;;1;1;;;;;;;3;;1;;;;1;;;1;;;;;;;;;;1;1;;;1;;;2;;;2;;;;4;;;;33;;1;;1;;1;2;;;1;5;;;;;;;1;;13;3;4;;;;;6;;;;3;;;;13;;;1;;;;;;;;;;;39;2;;;;;;13;;3;1
45837;7088;;1;;3;;3;45;;;;6;1;;28;7;;33;1;;;;;;;;;;;;;;;2;1;2;1;;;;;;9;;;;;;;;;;;4;;;;;;;2;;1;;;;3;;;;28;;;1;4;;6;;1;;;9;1;;;;;5;;;11;9;20;;;1;;14;;;;7;;;1;4;;;;;;;3;;;;;;;43;;;1;1;;;7;;5;2
