Sample ID;Calibrated radiocarbon years BP;Acalypha cf. A. crenata;Adenia;Alchornea;Amaranthaceae;Asteraceae;Burkea africana;Celtis;Combretaceae;Crossopteryx febrifuga;Cussonia;Ficus;Hymenocardia;Ixora;Lannea/Sclerocarya;Mallotus;Olea capensis subsp. hochstetteri;Phoenix cf. P. reclinata;Poaceae;Securinega virosa;Spermacoce;Uapaca;cf. Scrophulariaceae
478860;230.8;;;;6;2;;;3;1;;;1;;;;;;1112;;1;;
478861;299.5;;;;3;;;1;3;;;;6;;1;;;;506;;2;;
478863;402.5;;;1;9;8;;5;16;3;1;;1;;3;;;;239;;;;
478862;608.5;;;;12;12;;4;7;1;;;3;;;;;;1044;;;;
478864;814.5;1;;2;8;29;;7;12;;;1;3;;9;;;;863;2;;;1
478865;977.5;;;2;24;27;;1;13;;;;5;;3;;;;532;4;;;2
478866;1093.1;;1;2;27;10;;5;11;;;1;4;;1;;;;685;3;;;
478867;1140.6;;;2;21;16;;6;15;;;;1;;;;;1;536;4;;;
478869;1190.8;;;1;14;14;1;5;5;;;1;;;2;;;;697;3;1;;1
478868;1241;5;;;8;9;;4;5;;;;3;;2;1;;;547;2;;;1
478870;1278;2;;1;15;7;;3;6;1;;1;1;;1;;;;699;1;1;;
478871;1338.7;;;;11;14;;2;10;;;1;1;;3;;;;543;5;;;
478872;1386.3;;;;15;8;1;4;9;;;1;4;;2;;;1;668;2;;;1
478873;1436.5;;;;10;7;;1;10;;;;3;;7;;;;680;1;;;
478874;1493.1;;;;6;9;;3;11;1;;;4;;4;1;;;814;3;1;;1
478875;1540.7;;;3;5;9;;1;7;1;;;2;;5;2;;;635;;;;
478876;1588.4;1;;;15;10;;;11;;;;3;;12;;;1;732;4;1;;1
478877;1636;;;;16;5;1;3;6;;;;4;;8;1;1;;793;2;;;
478878;1685.9;;;;19;3;1;3;8;;;1;7;;5;;;;741;2;;;
478879;1731.2;2;;;12;6;1;4;10;1;;;2;;9;;;;615;2;;1;
478880;1781.1;1;;;11;9;;5;12;1;;1;;;21;;;;851;2;;2;2
478881;1828.5;;;;5;10;;1;10;;;;1;;1;;2;;826;1;;;1
478882;1875.9;1;;;16;6;;3;8;;;2;1;;2;;;;891;3;;;3
478883;1925.5;1;;;16;11;;2;10;;;;1;;;;;;708;2;1;;
478884;1984.1;1;;;8;10;2;2;3;;;1;;;2;1;;;746;2;;;1
478885;2033.7;2;;1;8;12;;6;4;;;;;;3;;;;747;4;1;;
478886;2083.3;2;;1;10;13;;6;14;;1;2;2;;4;;;;686;1;1;;
478887;2130.6;;;;5;14;;3;6;1;;;2;;4;;;;746;;1;;
478888;2180.2;1;;;8;14;;3;9;;;;1;;;;;;728;3;;;
478890;2229.8;2;;1;9;6;;6;3;;;;3;;2;;;;730;8;;;
478889;2279.4;;;;1;4;;2;7;1;;3;1;;1;1;1;;673;1;;;2
478891;2361.4;3;;1;6;2;;8;13;2;1;3;2;;3;;;;741;1;;;
478892;2519.8;;;1;11;13;2;;10;;2;;;;6;;;;786;3;;1;
478893;2671.1;6;;;10;15;;6;20;2;;6;3;;12;3;;;552;1;3;1;3
478894;2793.5;4;;;5;7;3;10;10;1;1;;1;1;16;;;;695;1;3;;4
478895;2980.8;8;;2;9;3;1;13;19;;1;7;1;;7;;;;678;3;2;;5
478896;3110.4;5;;3;10;7;1;8;23;2;;8;2;1;3;;1;;561;;1;;3
478897;3225.7;4;;6;6;5;;16;14;1;1;3;4;;12;;;1;660;3;;1;2
478898;3413;8;;2;12;3;1;25;19;;;;3;;8;;1;1;728;2;2;1;4
478899;3665.4;8;;1;7;6;;23;15;1;;2;3;;5;;1;;541;;1;2;3
478900;3840.3;6;4;;6;7;;39;10;;;;1;;1;;;;704;;4;;9
478901;4092.7;6;;4;10;3;1;21;15;;;;2;;2;;1;;677;1;;2;1
478902;4306.4;;;2;3;1;3;5;13;1;;;9;;8;3;6;1;502;;1;15;
478903;4529.8;1;;7;5;2;2;9;23;1;;1;6;;5;;2;;655;1;2;19;
478904;4734.6;3;;;4;;2;6;18;1;;;5;;4;;;;682;;;49;1
478905;4921.1;4;1;3;1;2;1;;18;1;1;;6;1;1;1;3;1;501;;1;58;2
478906;5107.6;3;;8;4;2;3;3;7;;;;1;;1;;2;;630;;5;64;
478907;5294.1;2;3;1;1;1;1;9;16;;;;4;;;;1;;597;;;96;
478908;5497.6;;;2;;2;4;1;8;2;;2;7;1;5;2;3;;430;2;1;87;1
478909;5684.1;2;2;4;4;1;3;7;14;1;;2;7;2;4;6;3;1;611;;2;137;2
478912;5862.1;1;3;4;2;3;2;5;5;1;1;1;8;3;3;1;4;1;551;;2;155;1
478911;6023.2;3;;4;;1;3;;10;;1;3;9;4;;5;4;2;481;;3;188;1
478910;6192.7;3;3;4;4;3;3;7;9;1;;1;13;7;1;5;7;;555;;3;210;2
478913;6382.3;4;1;3;3;;2;8;14;;;1;16;5;2;6;4;;570;1;2;157;1
478914;6665.9;3;1;6;1;;3;2;10;;;2;10;1;4;1;3;;445;1;1;169;
478915;6881.4;7;3;1;2;2;2;7;17;1;;2;12;8;4;4;6;;607;;3;158;2
478916;7176.3;6;1;3;1;2;4;7;17;1;3;;10;7;1;4;9;;520;;;149;
478917;7403.1;;;3;;;5;;6;1;;3;7;3;1;2;4;1;429;1;;103;
478918;7698;4;1;5;1;;3;1;6;;1;;10;1;1;4;3;;660;;3;125;1
478919;7913.5;;;3;;;2;5;15;;1;;11;2;3;4;4;;622;;7;99;1
478920;8197;3;1;7;;1;8;2;17;1;5;;13;7;5;6;8;;510;1;5;143;1
478921;8423.9;;2;7;1;;8;;17;;8;3;12;2;1;10;5;;607;;3;182;
478922;8639.4;;5;4;1;2;8;7;5;;7;;12;3;2;3;10;1;459;;11;121;1
478923;8786.8;;3;14;;3;9;;9;;5;5;6;1;2;3;6;;427;;1;102;
478924;8991;4;9;12;;4;9;8;17;1;2;2;6;10;1;4;11;1;477;1;;166;
478925;9138.4;;3;5;2;9;16;9;18;3;11;5;11;16;11;3;16;2;560;1;4;120;
478926;9306;2;8;5;2;2;14;2;16;;20;2;3;7;;6;33;3;467;;3;117;
478927;9405.5;;3;16;2;5;6;;18;;4;11;9;10;4;5;41;1;422;;2;118;
478928;9551;;8;13;1;2;8;2;10;;5;3;1;9;2;8;65;2;587;;1;110;
478930;9750.1;;6;8;1;6;6;;12;1;4;2;;;1;1;44;2;420;1;2;84;
478929;9903.2;;3;12;1;2;5;1;17;1;1;3;;2;3;3;92;4;405;;2;104;
478931;10048.7;;12;13;2;6;2;1;30;8;1;4;;10;4;2;68;20;495;;1;63;1
478932;10194.2;;6;10;3;5;2;2;28;2;4;1;;5;2;7;99;7;527;;1;46;
478933;10347.3;;2;8;3;4;2;4;16;2;;3;;;4;2;112;5;478;;;17;1
478934;10485.1;;4;6;3;4;1;1;23;4;1;4;1;3;;5;121;2;596;;;12;
478935;10638.3;;5;3;4;5;3;2;7;1;8;3;;3;3;1;108;;577;;;10;3
478936;10783.8;;6;1;;7;3;;20;;4;1;;3;5;1;95;;560;;;4;
478937;10929.2;;4;4;7;5;;1;16;1;8;;;;2;;26;;510;;;6;2
478938;11106.8;;3;;1;8;1;;13;;4;;;2;1;;63;;627;;;5;
478939;11853.9;;3;1;3;;;;13;1;1;;;;2;;4;;640;;;2;
478940;12210.3;;4;;12;2;;1;20;;1;;;;8;;7;;745;;;;
478941;12330.2;;2;;15;1;;;8;1;;1;;;;;4;;613;;;3;1
478942;12450.1;;;;5;;;;;;;;;;;;;;135;;;;
478943;12576.4;;;;;20;;;;;;;;;;;;;84;;;;
478944;12696.3;;;;5;6;;;;;;;;;;;;;142;;;;
478945;12822.5;;;;57;5;;;;;;;;;;;;;843;;;;
478946;12879.3;;;;34;1;;;;;1;;;;;;2;;461;;;;
478947;12999.3;;;;2;1;;;;;;;;;;;5;;463;;;;
478948;13087.6;;;;1;;;;;;;;;;;;;;403;;;;
